hgnc_symbol	ensembl_gene_id	chromosome_name	origsymbol
EFR3A	EFR3A	ENSG00000132294	8	EFR3A
EFTUD1	NA	NA	NA	EFTUD1
EFTUD2	EFTUD2	ENSG00000108883	17	EFTUD2
EGFL7	EGFL7	ENSG00000172889	9	EGFL7
EGFL8	EGFL8	ENSG00000244444	CHR_HSCHR6_MHC_SSTO_CTG1	EGFL8
EGFLAM	EGFLAM	ENSG00000164318	5	EGFLAM
EGFLAM-AS4	EGFLAM-AS4	ENSG00000248730	5	EGFLAM-AS4
EGLN1	EGLN1	ENSG00000135766	1	EGLN1
EGLN2	EGLN2	ENSG00000269858	19	EGLN2
EGLN3	EGLN3	ENSG00000129521	14	EGLN3
EGR1	EGR1	ENSG00000120738	5	EGR1
EHBP1	EHBP1	ENSG00000115504	2	EHBP1
EHBP1L1	EHBP1L1	ENSG00000173442	11	EHBP1L1
EHD1	EHD1	ENSG00000110047	11	EHD1
EHD2	EHD2	ENSG00000024422	19	EHD2
EHD4	EHD4	ENSG00000103966	15	EHD4
EHF	EHF	ENSG00000135373	11	EHF
EHHADH	EHHADH	ENSG00000113790	3	EHHADH
EHMT1	EHMT1	ENSG00000181090	9	EHMT1
EHMT2	EHMT2	ENSG00000238134	CHR_HSCHR6_MHC_SSTO_CTG1	EHMT2
EI24	EI24	ENSG00000149547	11	EI24
EID1	EID1	ENSG00000255302	15	EID1
EID2	EID2	ENSG00000176396	19	EID2
EID2B	EID2B	ENSG00000176401	19	EID2B
EID3	EID3	ENSG00000255150	12	EID3
EIF1	EIF1	ENSG00000173812	17	EIF1
EIF1AD	EIF1AD	ENSG00000175376	11	EIF1AD
EIF1AX	EIF1AX	ENSG00000173674	X	EIF1AX
EIF1B	EIF1B	ENSG00000114784	3	EIF1B
EIF2A	EIF2A	ENSG00000144895	3	EIF2A
EIF2AK1	EIF2AK1	ENSG00000086232	7	EIF2AK1
EIF2AK2	EIF2AK2	ENSG00000055332	2	EIF2AK2
EIF2AK3	EIF2AK3	ENSG00000172071	2	EIF2AK3
EIF2AK4	EIF2AK4	ENSG00000128829	15	EIF2AK4
EIF2B1	EIF2B1	ENSG00000111361	12	EIF2B1
EIF2B2	EIF2B2	ENSG00000119718	14	EIF2B2
EIF2B3	EIF2B3	ENSG00000070785	1	EIF2B3
EIF2B4	EIF2B4	ENSG00000115211	2	EIF2B4
EIF2B5	EIF2B5	ENSG00000145191	3	EIF2B5
EIF2D	EIF2D	ENSG00000143486	1	EIF2D
EIF2S1	EIF2S1	ENSG00000134001	14	EIF2S1
EIF2S2	EIF2S2	ENSG00000125977	20	EIF2S2
EIF2S3	EIF2S3	ENSG00000130741	X	EIF2S3
EIF2S3L	NA	NA	NA	EIF2S3L
EIF3A	EIF3A	ENSG00000107581	10	EIF3A
EIF3B	EIF3B	ENSG00000106263	7	EIF3B
EIF3C	EIF3C	ENSG00000184110	16	EIF3C
EIF3CL	EIF3CL	ENSG00000205609	16	EIF3CL
EIF3D	EIF3D	ENSG00000100353	22	EIF3D
EIF3E	EIF3E	ENSG00000104408	8	EIF3E
EIF3F	EIF3F	ENSG00000280606	CHR_HSCHR11_1_CTG1_2	EIF3F
EIF3G	EIF3G	ENSG00000130811	19	EIF3G
EIF3H	EIF3H	ENSG00000147677	8	EIF3H
EIF3I	EIF3I	ENSG00000084623	1	EIF3I
EIF3J	EIF3J	ENSG00000104131	15	EIF3J
EIF3J-AS1	NA	NA	NA	EIF3J-AS1
EIF3K	EIF3K	ENSG00000282986	CHR_HG26_PATCH	EIF3K
EIF3L	EIF3L	ENSG00000100129	22	EIF3L
EIF3M	EIF3M	ENSG00000149100	11	EIF3M
EIF4A1	EIF4A1	ENSG00000161960	17	EIF4A1
EIF4A2	EIF4A2	ENSG00000156976	3	EIF4A2
EIF4A3	EIF4A3	ENSG00000141543	17	EIF4A3
EIF4B	EIF4B	ENSG00000063046	12	EIF4B
EIF4E	EIF4E	ENSG00000151247	4	EIF4E
EIF4E2	EIF4E2	ENSG00000135930	2	EIF4E2
EIF4E3	EIF4E3	ENSG00000163412	3	EIF4E3
EIF4EBP1	EIF4EBP1	ENSG00000187840	8	EIF4EBP1
EIF4EBP2	EIF4EBP2	ENSG00000148730	10	EIF4EBP2
EIF4ENIF1	EIF4ENIF1	ENSG00000184708	22	EIF4ENIF1
EIF4G1	EIF4G1	ENSG00000114867	3	EIF4G1
EIF4G2	EIF4G2	ENSG00000110321	11	EIF4G2
EIF4G3	EIF4G3	ENSG00000075151	1	EIF4G3
EIF4H	EIF4H	ENSG00000106682	7	EIF4H
EIF5	EIF5	ENSG00000100664	14	EIF5
EIF5A	EIF5A	ENSG00000132507	17	EIF5A
EIF5A2	EIF5A2	ENSG00000163577	3	EIF5A2
EIF5AL1	EIF5AL1	ENSG00000253626	10	EIF5AL1
EIF5B	EIF5B	ENSG00000158417	2	EIF5B
EIF6	EIF6	ENSG00000242372	20	EIF6
ELAC1	ELAC1	ENSG00000141642	18	ELAC1
ELAC2	ELAC2	ENSG00000006744	17	ELAC2
ELAVL1	ELAVL1	ENSG00000066044	19	ELAVL1
ELF1	ELF1	ENSG00000120690	13	ELF1
ELF2	ELF2	ENSG00000109381	4	ELF2
ELF4	ELF4	ENSG00000102034	X	ELF4
ELFN1	ELFN1	ENSG00000225968	7	ELFN1
ELK1	ELK1	ENSG00000126767	X	ELK1
ELK3	ELK3	ENSG00000111145	12	ELK3
ELK4	ELK4	ENSG00000158711	1	ELK4
ELL	ELL	ENSG00000105656	19	ELL
ELL2	ELL2	ENSG00000118985	5	ELL2
ELMO1	ELMO1	ENSG00000155849	7	ELMO1
ELMO2	ELMO2	ENSG00000062598	20	ELMO2
ELMO3	ELMO3	ENSG00000102890	16	ELMO3
ELMOD2	ELMOD2	ENSG00000179387	4	ELMOD2
ELMOD3	ELMOD3	ENSG00000115459	2	ELMOD3
ELMSAN1	ELMSAN1	ENSG00000156030	14	ELMSAN1
ELOF1	ELOF1	ENSG00000130165	19	ELOF1
ELOVL1	ELOVL1	ENSG00000066322	1	ELOVL1
ELOVL2	ELOVL2	ENSG00000197977	6	ELOVL2
ELOVL3	ELOVL3	ENSG00000119915	10	ELOVL3
ELOVL5	ELOVL5	ENSG00000012660	6	ELOVL5
ELOVL6	ELOVL6	ENSG00000170522	4	ELOVL6
ELOVL7	ELOVL7	ENSG00000164181	5	ELOVL7
ELP2	ELP2	ENSG00000134759	18	ELP2
ELP3	ELP3	ENSG00000134014	8	ELP3
ELP4	ELP4	ENSG00000109911	11	ELP4
ELP5	ELP5	ENSG00000170291	17	ELP5
ELP6	ELP6	ENSG00000163832	3	ELP6
EMC1	EMC1	ENSG00000127463	1	EMC1
EMC10	EMC10	ENSG00000161671	19	EMC10
EMC2	EMC2	ENSG00000104412	8	EMC2
EMC3	EMC3	ENSG00000125037	3	EMC3
EMC4	EMC4	ENSG00000128463	15	EMC4
EMC6	EMC6	ENSG00000127774	17	EMC6
EMC7	EMC7	ENSG00000134153	15	EMC7
EMC8	EMC8	ENSG00000131148	16	EMC8
EMC9	EMC9	ENSG00000285377	CHR_HG1_PATCH	EMC9
EMD	EMD	ENSG00000102119	X	EMD
EME1	EME1	ENSG00000154920	17	EME1
EME2	EME2	ENSG00000197774	16	EME2
EMG1	EMG1	ENSG00000126749	12	EMG1
EMID1	EMID1	ENSG00000186998	22	EMID1
EMILIN1	EMILIN1	ENSG00000138080	2	EMILIN1
EMILIN2	EMILIN2	ENSG00000132205	18	EMILIN2
EML2	EML2	ENSG00000125746	19	EML2
EML3	EML3	ENSG00000149499	11	EML3
EML4	EML4	ENSG00000143924	2	EML4
EML6	EML6	ENSG00000214595	2	EML6
EMP2	EMP2	ENSG00000213853	16	EMP2
EMP3	EMP3	ENSG00000142227	19	EMP3
EMR2	NA	NA	NA	EMR2
EN1	EN1	ENSG00000163064	2	EN1
ENC1	ENC1	ENSG00000171617	5	ENC1
ENDOD1	ENDOD1	ENSG00000149218	11	ENDOD1
ENDOG	ENDOG	ENSG00000167136	9	ENDOG
ENDOV	ENDOV	ENSG00000173818	17	ENDOV
ENG	ENG	ENSG00000106991	9	ENG
ENGASE	ENGASE	ENSG00000167280	17	ENGASE
ENKD1	ENKD1	ENSG00000124074	16	ENKD1
ENKUR	ENKUR	ENSG00000151023	10	ENKUR
ENO1	ENO1	ENSG00000074800	1	ENO1
ENO1-AS1	ENO1-AS1	ENSG00000230679	1	ENO1-AS1
ENO2	ENO2	ENSG00000111674	12	ENO2
ENO3	ENO3	ENSG00000108515	17	ENO3
ENOPH1	ENOPH1	ENSG00000145293	4	ENOPH1
ENOSF1	ENOSF1	ENSG00000132199	18	ENOSF1
ENOX2	ENOX2	ENSG00000165675	X	ENOX2
ENPP3	ENPP3	ENSG00000154269	6	ENPP3
ENSA	ENSA	ENSG00000143420	1	ENSA
ENTHD1	ENTHD1	ENSG00000176177	22	ENTHD1
ENTHD2	NA	NA	NA	ENTHD2
ENTPD1-AS1	ENTPD1-AS1	ENSG00000226688	10	ENTPD1-AS1
ENTPD2	ENTPD2	ENSG00000054179	9	ENTPD2
ENTPD3	ENTPD3	ENSG00000168032	3	ENTPD3
ENTPD3-AS1	ENTPD3-AS1	ENSG00000223797	3	ENTPD3-AS1
ENTPD4	ENTPD4	ENSG00000197217	8	ENTPD4
ENTPD5	ENTPD5	ENSG00000187097	14	ENTPD5
ENTPD6	ENTPD6	ENSG00000197586	20	ENTPD6
ENTPD7	ENTPD7	ENSG00000198018	10	ENTPD7
ENTPD8	ENTPD8	ENSG00000188833	9	ENTPD8
ENY2	ENY2	ENSG00000120533	8	ENY2
EOGT	EOGT	ENSG00000163378	3	EOGT
EP300	EP300	ENSG00000100393	22	EP300
EP400	EP400	ENSG00000183495	12	EP400
EP400NL	NA	NA	NA	EP400NL
EPAS1	EPAS1	ENSG00000116016	2	EPAS1
EPB41	EPB41	ENSG00000159023	1	EPB41
EPB41L1	EPB41L1	ENSG00000088367	20	EPB41L1
EPB41L2	EPB41L2	ENSG00000079819	6	EPB41L2
EPB41L4A-AS1	EPB41L4A-AS1	ENSG00000224032	5	EPB41L4A-AS1
EPB41L5	EPB41L5	ENSG00000115109	2	EPB41L5
EPB42	EPB42	ENSG00000166947	15	EPB42
EPC1	EPC1	ENSG00000120616	10	EPC1
EPC2	EPC2	ENSG00000135999	2	EPC2
EPCAM	EPCAM	ENSG00000119888	2	EPCAM
EPG5	EPG5	ENSG00000152223	18	EPG5
EPHA1-AS1	EPHA1-AS1	ENSG00000285468	CHR_HG708_PATCH	EPHA1-AS1
EPHA4	EPHA4	ENSG00000116106	2	EPHA4
EPHB4	EPHB4	ENSG00000196411	7	EPHB4
EPHB6	EPHB6	ENSG00000275482	CHR_HSCHR7_2_CTG6	EPHB6
EPHX1	EPHX1	ENSG00000143819	1	EPHX1
EPHX2	EPHX2	ENSG00000120915	8	EPHX2
EPM2A	EPM2A	ENSG00000112425	6	EPM2A
EPM2AIP1	EPM2AIP1	ENSG00000178567	3	EPM2AIP1
EPN1	EPN1	ENSG00000063245	19	EPN1
EPN2	EPN2	ENSG00000072134	17	EPN2
EPOR	EPOR	ENSG00000187266	19	EPOR
EPPK1	EPPK1	ENSG00000261150	8	EPPK1
EPRS	EPRS	ENSG00000136628	1	EPRS
EPS15	EPS15	ENSG00000085832	1	EPS15
EPS15L1	EPS15L1	ENSG00000127527	19	EPS15L1
EPS8	EPS8	ENSG00000151491	12	EPS8
EPS8L1	EPS8L1	ENSG00000131037	19	EPS8L1
EPS8L2	EPS8L2	ENSG00000177106	11	EPS8L2
EPT1	NA	NA	NA	EPT1
ERAL1	ERAL1	ENSG00000132591	17	ERAL1
ERAP1	ERAP1	ENSG00000164307	5	ERAP1
ERAP2	ERAP2	ENSG00000164308	5	ERAP2
ERBB2	ERBB2	ENSG00000141736	17	ERBB2
ERBB2IP	NA	NA	NA	ERBB2IP
ERBB3	ERBB3	ENSG00000065361	12	ERBB3
ERC1	ERC1	ENSG00000283017	CHR_HSCHR12_2_CTG1	ERC1
ERCC1	ERCC1	ENSG00000012061	19	ERCC1
ERCC2	ERCC2	ENSG00000104884	19	ERCC2
ERCC3	ERCC3	ENSG00000163161	2	ERCC3
ERCC4	ERCC4	ENSG00000175595	16	ERCC4
ERCC5	ERCC5	ENSG00000134899	13	ERCC5
ERCC6	ERCC6	ENSG00000225830	10	ERCC6
ERCC6L	ERCC6L	ENSG00000186871	X	ERCC6L
ERCC6L2	ERCC6L2	ENSG00000182150	9	ERCC6L2
ERCC8	ERCC8	ENSG00000049167	5	ERCC8
EREG	EREG	ENSG00000124882	4	EREG
ERF	ERF	ENSG00000105722	19	ERF
ERGIC1	ERGIC1	ENSG00000113719	5	ERGIC1
ERGIC2	ERGIC2	ENSG00000087502	12	ERGIC2
ERGIC3	ERGIC3	ENSG00000125991	20	ERGIC3
ERH	ERH	ENSG00000100632	14	ERH
ERI1	ERI1	ENSG00000104626	8	ERI1
ERI2	ERI2	ENSG00000196678	16	ERI2
ERI3	ERI3	ENSG00000117419	1	ERI3
ERICH1	ERICH1	ENSG00000282665	CHR_HSCHR8_4_CTG1	ERICH1
ERICH2	ERICH2	ENSG00000204334	2	ERICH2
ERLEC1	ERLEC1	ENSG00000068912	2	ERLEC1
ERLIN1	ERLIN1	ENSG00000107566	10	ERLIN1
ERLIN2	ERLIN2	ENSG00000147475	8	ERLIN2
ERMAP	ERMAP	ENSG00000164010	1	ERMAP
ERMARD	ERMARD	ENSG00000276187	CHR_HSCHR6_1_CTG4	ERMARD
ERMN	ERMN	ENSG00000136541	2	ERMN
ERMP1	ERMP1	ENSG00000099219	9	ERMP1
ERN1	ERN1	ENSG00000178607	17	ERN1
ERO1L	NA	NA	NA	ERO1L
ERO1LB	NA	NA	NA	ERO1LB
ERP29	ERP29	ENSG00000089248	12	ERP29
ERP44	ERP44	ENSG00000023318	9	ERP44
ERRFI1	ERRFI1	ENSG00000116285	1	ERRFI1
ERV3-1	ERV3-1	ENSG00000213462	7	ERV3-1
ERVMER34-1	ERVMER34-1	ENSG00000226887	4	ERVMER34-1
ESAM	ESAM	ENSG00000149564	11	ESAM
ESCO1	ESCO1	ENSG00000141446	18	ESCO1
ESCO2	ESCO2	ENSG00000171320	8	ESCO2
ESD	ESD	ENSG00000139684	13	ESD
ESF1	ESF1	ENSG00000089048	20	ESF1
ESPL1	ESPL1	ENSG00000135476	12	ESPL1
ESPN	ESPN	ENSG00000187017	1	ESPN
ESR2	ESR2	ENSG00000140009	14	ESR2
ESRRA	ESRRA	ENSG00000173153	11	ESRRA
ESRRB	ESRRB	ENSG00000119715	14	ESRRB
ESYT1	ESYT1	ENSG00000139641	12	ESYT1
ESYT2	ESYT2	ENSG00000117868	7	ESYT2
ETAA1	ETAA1	ENSG00000143971	2	ETAA1
ETF1	ETF1	ENSG00000120705	5	ETF1
ETFA	ETFA	ENSG00000140374	15	ETFA
ETFB	ETFB	ENSG00000105379	19	ETFB
ETFDH	ETFDH	ENSG00000171503	4	ETFDH
ETHE1	ETHE1	ENSG00000105755	19	ETHE1
ETNK1	ETNK1	ENSG00000139163	12	ETNK1
ETS2	ETS2	ENSG00000157557	21	ETS2
ETV1	ETV1	ENSG00000006468	7	ETV1
ETV2	ETV2	ENSG00000105672	19	ETV2
ETV3	ETV3	ENSG00000117036	1	ETV3
ETV4	ETV4	ENSG00000175832	17	ETV4
ETV5	ETV5	ENSG00000244405	3	ETV5
ETV6	ETV6	ENSG00000139083	12	ETV6
EVA1B	EVA1B	ENSG00000142694	1	EVA1B
EVC	EVC	ENSG00000072840	4	EVC
EVC2	EVC2	ENSG00000173040	4	EVC2
EVI2B	EVI2B	ENSG00000185862	17	EVI2B
EVI5	EVI5	ENSG00000067208	1	EVI5
EVI5L	EVI5L	ENSG00000142459	19	EVI5L
EVL	EVL	ENSG00000196405	14	EVL
EWSR1	EWSR1	ENSG00000182944	22	EWSR1
EXD2	EXD2	ENSG00000081177	14	EXD2
EXD3	EXD3	ENSG00000187609	9	EXD3
EXO1	EXO1	ENSG00000174371	1	EXO1
EXO5	EXO5	ENSG00000164002	1	EXO5
EXOC1	EXOC1	ENSG00000090989	4	EXOC1
EXOC2	EXOC2	ENSG00000112685	6	EXOC2
EXOC3	EXOC3	ENSG00000180104	5	EXOC3
EXOC3L2	EXOC3L2	ENSG00000283632	19	EXOC3L2
EXOC3L4	EXOC3L4	ENSG00000205436	14	EXOC3L4
EXOC4	EXOC4	ENSG00000131558	7	EXOC4
EXOC5	EXOC5	ENSG00000070367	14	EXOC5
EXOC6	EXOC6	ENSG00000138190	10	EXOC6
EXOC6B	EXOC6B	ENSG00000144036	2	EXOC6B
EXOC7	EXOC7	ENSG00000182473	17	EXOC7
EXOC8	EXOC8	ENSG00000116903	1	EXOC8
EXOG	EXOG	ENSG00000157036	3	EXOG
EXOSC1	EXOSC1	ENSG00000171311	10	EXOSC1
EXOSC10	EXOSC10	ENSG00000171824	1	EXOSC10
EXOSC2	EXOSC2	ENSG00000130713	9	EXOSC2
EXOSC3	EXOSC3	ENSG00000107371	9	EXOSC3
EXOSC4	EXOSC4	ENSG00000178896	8	EXOSC4
EXOSC5	EXOSC5	ENSG00000077348	19	EXOSC5
EXOSC6	EXOSC6	ENSG00000223496	16	EXOSC6
EXOSC7	EXOSC7	ENSG00000075914	3	EXOSC7
EXOSC8	EXOSC8	ENSG00000120699	13	EXOSC8
EXOSC9	EXOSC9	ENSG00000123737	4	EXOSC9
EXPH5	EXPH5	ENSG00000110723	11	EXPH5
EXT1	EXT1	ENSG00000182197	8	EXT1
EXT2	EXT2	ENSG00000151348	11	EXT2
EXTL1	EXTL1	ENSG00000158008	1	EXTL1
EXTL2	EXTL2	ENSG00000162694	1	EXTL2
EXTL3	EXTL3	ENSG00000012232	8	EXTL3
EXTL3-AS1	EXTL3-AS1	ENSG00000246339	8	EXTL3-AS1
EYA3	EYA3	ENSG00000158161	1	EYA3
EYS	EYS	ENSG00000188107	6	EYS
EZH1	EZH1	ENSG00000108799	17	EZH1
EZH2	EZH2	ENSG00000106462	7	EZH2
EZR	EZR	ENSG00000092820	6	EZR
F11-AS1	F11-AS1	ENSG00000251165	4	F11-AS1
F11R	F11R	ENSG00000158769	1	F11R
F12	F12	ENSG00000131187	5	F12
F2R	F2R	ENSG00000181104	5	F2R
F2RL3	F2RL3	ENSG00000127533	19	F2RL3
F8	F8	ENSG00000185010	X	F8
FAAH	FAAH	ENSG00000117480	1	FAAH
FABP5	FABP5	ENSG00000164687	8	FABP5
FADD	FADD	ENSG00000168040	11	FADD
FADS1	FADS1	ENSG00000149485	11	FADS1
FADS2	FADS2	ENSG00000134824	11	FADS2
FADS3	FADS3	ENSG00000221968	11	FADS3
FAF1	FAF1	ENSG00000185104	1	FAF1
FAF2	FAF2	ENSG00000113194	5	FAF2
FAH	FAH	ENSG00000103876	15	FAH
FAHD1	FAHD1	ENSG00000180185	16	FAHD1
FAHD2A	FAHD2A	ENSG00000115042	2	FAHD2A
FAHD2B	FAHD2B	ENSG00000144199	2	FAHD2B
FAIM	FAIM	ENSG00000158234	3	FAIM
FAM101B	NA	NA	NA	FAM101B
FAM102A	FAM102A	ENSG00000167106	9	FAM102A
FAM102B	FAM102B	ENSG00000162636	1	FAM102B
FAM103A1	NA	NA	NA	FAM103A1
FAM104A	FAM104A	ENSG00000133193	17	FAM104A
FAM104B	FAM104B	ENSG00000182518	X	FAM104B
FAM105B	NA	NA	NA	FAM105B
FAM107B	FAM107B	ENSG00000065809	10	FAM107B
FAM109A	NA	NA	NA	FAM109A
FAM110A	FAM110A	ENSG00000125898	20	FAM110A
FAM110D	FAM110D	ENSG00000197245	1	FAM110D
FAM111A	FAM111A	ENSG00000166801	11	FAM111A
FAM114A1	FAM114A1	ENSG00000197712	4	FAM114A1
FAM114A2	FAM114A2	ENSG00000055147	5	FAM114A2
FAM115A	NA	NA	NA	FAM115A
FAM115C	NA	NA	NA	FAM115C
FAM117A	FAM117A	ENSG00000121104	17	FAM117A
FAM117B	FAM117B	ENSG00000138439	2	FAM117B
FAM118A	FAM118A	ENSG00000100376	22	FAM118A
FAM118B	FAM118B	ENSG00000197798	11	FAM118B
FAM120A	FAM120A	ENSG00000048828	9	FAM120A
FAM120AOS	FAM120AOS	ENSG00000188938	9	FAM120AOS
FAM120B	FAM120B	ENSG00000275333	CHR_HSCHR6_1_CTG5	FAM120B
FAM120C	FAM120C	ENSG00000184083	X	FAM120C
FAM122A	FAM122A	ENSG00000187866	9	FAM122A
FAM122B	FAM122B	ENSG00000156504	X	FAM122B
FAM122C	FAM122C	ENSG00000156500	X	FAM122C
FAM124B	FAM124B	ENSG00000124019	2	FAM124B
FAM126A	FAM126A	ENSG00000122591	7	FAM126A
FAM126B	FAM126B	ENSG00000155744	2	FAM126B
FAM127A	NA	NA	NA	FAM127A
FAM127B	NA	NA	NA	FAM127B
FAM127C	NA	NA	NA	FAM127C
FAM129A	FAM129A	ENSG00000135842	1	FAM129A
FAM129B	FAM129B	ENSG00000136830	9	FAM129B
FAM129C	FAM129C	ENSG00000167483	19	FAM129C
FAM131A	FAM131A	ENSG00000175182	3	FAM131A
FAM132A	NA	NA	NA	FAM132A
FAM132B	NA	NA	NA	FAM132B
FAM133B	FAM133B	ENSG00000234545	7	FAM133B
FAM134A	NA	NA	NA	FAM134A
FAM134B	NA	NA	NA	FAM134B
FAM134C	NA	NA	NA	FAM134C
FAM135A	FAM135A	ENSG00000082269	6	FAM135A
FAM136A	FAM136A	ENSG00000035141	2	FAM136A
FAM138C	FAM138C	ENSG00000218839	9	FAM138C
FAM138E	FAM138E	ENSG00000248893	15	FAM138E
FAM13A	FAM13A	ENSG00000138640	4	FAM13A
FAM13A-AS1	FAM13A-AS1	ENSG00000248019	4	FAM13A-AS1
FAM13B	FAM13B	ENSG00000031003	5	FAM13B
FAM149B1	FAM149B1	ENSG00000138286	10	FAM149B1
FAM154B	NA	NA	NA	FAM154B
FAM155A	FAM155A	ENSG00000204442	13	FAM155A
FAM157A	FAM157A	ENSG00000236438	3	FAM157A
FAM160A2	FAM160A2	ENSG00000051009	11	FAM160A2
FAM160B1	FAM160B1	ENSG00000151553	10	FAM160B1
FAM160B2	FAM160B2	ENSG00000158863	8	FAM160B2
FAM161A	FAM161A	ENSG00000170264	2	FAM161A
FAM161B	FAM161B	ENSG00000156050	14	FAM161B
FAM162A	FAM162A	ENSG00000114023	3	FAM162A
FAM168A	FAM168A	ENSG00000054965	11	FAM168A
FAM168B	FAM168B	ENSG00000152102	2	FAM168B
FAM171A1	FAM171A1	ENSG00000148468	10	FAM171A1
FAM171A2	FAM171A2	ENSG00000161682	17	FAM171A2
FAM172A	FAM172A	ENSG00000113391	5	FAM172A
FAM173A	FAM173A	ENSG00000103254	16	FAM173A
FAM173B	NA	NA	NA	FAM173B
FAM174A	FAM174A	ENSG00000174132	5	FAM174A
FAM174B	FAM174B	ENSG00000185442	15	FAM174B
FAM175A	NA	NA	NA	FAM175A
FAM175B	NA	NA	NA	FAM175B
FAM177A1	FAM177A1	ENSG00000151327	14	FAM177A1
FAM178A	NA	NA	NA	FAM178A
FAM178B	FAM178B	ENSG00000168754	2	FAM178B
FAM179B	NA	NA	NA	FAM179B
FAM184A	FAM184A	ENSG00000111879	6	FAM184A
FAM184B	FAM184B	ENSG00000047662	4	FAM184B
FAM185A	FAM185A	ENSG00000222011	7	FAM185A
FAM188A	NA	NA	NA	FAM188A
FAM188B	NA	NA	NA	FAM188B
FAM189B	FAM189B	ENSG00000262666	CHR_HSCHR1_2_CTG31	FAM189B
FAM192A	FAM192A	ENSG00000172775	16	FAM192A
FAM193A	FAM193A	ENSG00000125386	4	FAM193A
FAM193B	FAM193B	ENSG00000146067	5	FAM193B
FAM195A	NA	NA	NA	FAM195A
FAM195B	NA	NA	NA	FAM195B
FAM199X	FAM199X	ENSG00000123575	X	FAM199X
FAM19A2	FAM19A2	ENSG00000198673	12	FAM19A2
FAM200A	FAM200A	ENSG00000221909	7	FAM200A
FAM200B	FAM200B	ENSG00000237765	4	FAM200B
FAM204A	FAM204A	ENSG00000165669	10	FAM204A
FAM206A	FAM206A	ENSG00000119328	9	FAM206A
FAM207A	FAM207A	ENSG00000160256	21	FAM207A
FAM208A	NA	NA	NA	FAM208A
FAM208B	NA	NA	NA	FAM208B
FAM209B	FAM209B	ENSG00000213714	20	FAM209B
FAM20B	FAM20B	ENSG00000116199	1	FAM20B
FAM210A	FAM210A	ENSG00000177150	18	FAM210A
FAM210B	FAM210B	ENSG00000124098	20	FAM210B
FAM211A	NA	NA	NA	FAM211A
FAM211B	NA	NA	NA	FAM211B
FAM212A	NA	NA	NA	FAM212A
FAM212B	NA	NA	NA	FAM212B
FAM213A	NA	NA	NA	FAM213A
FAM213B	NA	NA	NA	FAM213B
FAM214A	FAM214A	ENSG00000047346	15	FAM214A
FAM214B	FAM214B	ENSG00000005238	9	FAM214B
FAM216A	FAM216A	ENSG00000204856	12	FAM216A
FAM217B	FAM217B	ENSG00000196227	20	FAM217B
FAM219A	FAM219A	ENSG00000164970	9	FAM219A
FAM219B	FAM219B	ENSG00000178761	15	FAM219B
FAM21A	NA	NA	NA	FAM21A
FAM21B	NA	NA	NA	FAM21B
FAM21C	NA	NA	NA	FAM21C
FAM220A	FAM220A	ENSG00000178397	7	FAM220A
FAM222B	FAM222B	ENSG00000173065	17	FAM222B
FAM227A	FAM227A	ENSG00000184949	22	FAM227A
FAM227B	FAM227B	ENSG00000166262	15	FAM227B
FAM228B	FAM228B	ENSG00000219626	2	FAM228B
FAM229A	FAM229A	ENSG00000225828	1	FAM229A
FAM229B	FAM229B	ENSG00000203778	6	FAM229B
FAM24B	FAM24B	ENSG00000213185	10	FAM24B
FAM27A	NA	NA	NA	FAM27A
FAM27E3	FAM27E3	ENSG00000274026	9	FAM27E3
FAM32A	FAM32A	ENSG00000105058	19	FAM32A
FAM35A	NA	NA	NA	FAM35A
FAM3A	FAM3A	ENSG00000071889	X	FAM3A
FAM3C	FAM3C	ENSG00000196937	7	FAM3C
FAM41C	FAM41C	ENSG00000230368	1	FAM41C
FAM43A	FAM43A	ENSG00000185112	3	FAM43A
FAM45A	FAM45A	ENSG00000119979	10	FAM45A
FAM46A	NA	NA	NA	FAM46A
FAM46B	NA	NA	NA	FAM46B
FAM46C	NA	NA	NA	FAM46C
FAM47E	FAM47E	ENSG00000189157	4	FAM47E
FAM49A	FAM49A	ENSG00000197872	2	FAM49A
FAM49B	FAM49B	ENSG00000153310	8	FAM49B
FAM50A	FAM50A	ENSG00000071859	X	FAM50A
FAM53A	FAM53A	ENSG00000174137	4	FAM53A
FAM53B	FAM53B	ENSG00000189319	10	FAM53B
FAM53C	FAM53C	ENSG00000120709	5	FAM53C
FAM57A	FAM57A	ENSG00000167695	17	FAM57A
FAM58A	NA	NA	NA	FAM58A
FAM60A	NA	NA	NA	FAM60A
FAM63A	NA	NA	NA	FAM63A
FAM63B	NA	NA	NA	FAM63B
FAM64A	NA	NA	NA	FAM64A
FAM65A	NA	NA	NA	FAM65A
FAM65C	NA	NA	NA	FAM65C
FAM66C	FAM66C	ENSG00000226711	12	FAM66C
FAM69A	NA	NA	NA	FAM69A
FAM69B	NA	NA	NA	FAM69B
FAM69C	NA	NA	NA	FAM69C
FAM71D	FAM71D	ENSG00000172717	14	FAM71D
FAM71E1	FAM71E1	ENSG00000142530	19	FAM71E1
FAM72A	FAM72A	ENSG00000196550	1	FAM72A
FAM72B	FAM72B	ENSG00000188610	1	FAM72B
FAM72C	FAM72C	ENSG00000263513	1	FAM72C
FAM72D	FAM72D	ENSG00000215784	1	FAM72D
FAM73A	NA	NA	NA	FAM73A
FAM73B	NA	NA	NA	FAM73B
FAM76A	FAM76A	ENSG00000009780	1	FAM76A
