mgi_symbol	ensembl_gene_id	chromosome_name	origsymbol
Cd3d	Cd3d	ENSMUSG00000032094	9	Cd3d
Cd3e	Cd3e	ENSMUSG00000032093	9	Cd3e
Cd3eap	Cd3eap	ENSMUSG00000047649	7	Cd3eap
Cd3g	Cd3g	ENSMUSG00000002033	9	Cd3g
Cd4	Cd4	ENSMUSG00000023274	6	Cd4
Cd40	Cd40	ENSMUSG00000017652	2	Cd40
Cd40lg	Cd40lg	ENSMUSG00000031132	X	Cd40lg
Cd44	Cd44	ENSMUSG00000005087	2	Cd44
Cd46	Cd46	ENSMUSG00000016493	1	Cd46
Cd47	Cd47	ENSMUSG00000055447	16	Cd47
Cd48	Cd48	ENSMUSG00000015355	1	Cd48
Cd5	Cd5	ENSMUSG00000024669	19	Cd5
Cd52	Cd52	ENSMUSG00000000682	4	Cd52
Cd53	Cd53	ENSMUSG00000040747	3	Cd53
Cd55	Cd55	ENSMUSG00000026399	1	Cd55
Cd59a	Cd59a	ENSMUSG00000032679	2	Cd59a
Cd59b	Cd59b	ENSMUSG00000068686	2	Cd59b
Cd5l	Cd5l	ENSMUSG00000015854	3	Cd5l
Cd6	Cd6	ENSMUSG00000024670	19	Cd6
Cd63	Cd63	ENSMUSG00000025351	10	Cd63
Cd63-ps	Cd63-ps	ENSMUSG00000085939	18	Cd63-ps
Cd68	Cd68	ENSMUSG00000018774	11	Cd68
Cd69	Cd69	ENSMUSG00000030156	6	Cd69
Cd7	Cd7	ENSMUSG00000025163	11	Cd7
Cd70	Cd70	ENSMUSG00000019489	17	Cd70
Cd72	Cd72	ENSMUSG00000028459	4	Cd72
Cd74	Cd74	ENSMUSG00000024610	18	Cd74
Cd79a	Cd79a	ENSMUSG00000003379	7	Cd79a
Cd79b	Cd79b	ENSMUSG00000040592	11	Cd79b
Cd80	Cd80	ENSMUSG00000075122	16	Cd80
Cd81	Cd81	ENSMUSG00000037706	7	Cd81
Cd82	Cd82	ENSMUSG00000027215	2	Cd82
Cd83	Cd83	ENSMUSG00000015396	13	Cd83
Cd84	Cd84	ENSMUSG00000038147	1	Cd84
Cd86	Cd86	ENSMUSG00000022901	16	Cd86
Cd8a	Cd8a	ENSMUSG00000053977	6	Cd8a
Cd8b1	Cd8b1	ENSMUSG00000053044	6	Cd8b1
Cd9	Cd9	ENSMUSG00000030342	6	Cd9
Cd9-ps	Cd9-ps	ENSMUSG00000092193	7	Cd9-ps
Cd93	Cd93	ENSMUSG00000027435	2	Cd93
Cd96	Cd96	ENSMUSG00000022657	16	Cd96
Cd97	NA	NA	NA	Cd97
Cd99l2	Cd99l2	ENSMUSG00000035776	X	Cd99l2
Cda	Cda	ENSMUSG00000028755	4	Cda
Cdadc1	Cdadc1	ENSMUSG00000021982	14	Cdadc1
Cdan1	Cdan1	ENSMUSG00000027284	2	Cdan1
Cdc123	Cdc123	ENSMUSG00000039128	2	Cdc123
Cdc14a	Cdc14a	ENSMUSG00000033502	3	Cdc14a
Cdc14b	Cdc14b	ENSMUSG00000033102	13	Cdc14b
Cdc16	Cdc16	ENSMUSG00000038416	8	Cdc16
Cdc20	Cdc20	ENSMUSG00000006398	4	Cdc20
Cdc20b	Cdc20b	ENSMUSG00000078926	13	Cdc20b
Cdc23	Cdc23	ENSMUSG00000024370	18	Cdc23
Cdc25a	Cdc25a	ENSMUSG00000032477	9	Cdc25a
Cdc25b	Cdc25b	ENSMUSG00000027330	2	Cdc25b
Cdc25c	Cdc25c	ENSMUSG00000044201	18	Cdc25c
Cdc26	Cdc26	ENSMUSG00000066149	4	Cdc26
Cdc27	Cdc27	ENSMUSG00000020687	11	Cdc27
Cdc34	Cdc34	ENSMUSG00000020307	10	Cdc34
Cdc34-ps	NA	NA	NA	Cdc34-ps
Cdc37	Cdc37	ENSMUSG00000019471	9	Cdc37
Cdc37l1	Cdc37l1	ENSMUSG00000024780	19	Cdc37l1
Cdc40	Cdc40	ENSMUSG00000038446	10	Cdc40
Cdc42	Cdc42	ENSMUSG00000006699	4	Cdc42
Cdc42bpa	Cdc42bpa	ENSMUSG00000026490	1	Cdc42bpa
Cdc42bpb	Cdc42bpb	ENSMUSG00000021279	12	Cdc42bpb
Cdc42bpg	Cdc42bpg	ENSMUSG00000107268	CHR_MG4249_PATCH	Cdc42bpg
Cdc42ep1	Cdc42ep1	ENSMUSG00000049521	15	Cdc42ep1
Cdc42ep2	Cdc42ep2	ENSMUSG00000045664	19	Cdc42ep2
Cdc42ep3	Cdc42ep3	ENSMUSG00000036533	17	Cdc42ep3
Cdc42ep4	Cdc42ep4	ENSMUSG00000041598	11	Cdc42ep4
Cdc42ep5	Cdc42ep5	ENSMUSG00000063838	7	Cdc42ep5
Cdc42se1	Cdc42se1	ENSMUSG00000046722	3	Cdc42se1
Cdc42se2	Cdc42se2	ENSMUSG00000052298	11	Cdc42se2
Cdc45	Cdc45	ENSMUSG00000000028	16	Cdc45
Cdc5l	Cdc5l	ENSMUSG00000023932	17	Cdc5l
Cdc6	Cdc6	ENSMUSG00000017499	11	Cdc6
Cdc7	Cdc7	ENSMUSG00000029283	5	Cdc7
Cdc73	Cdc73	ENSMUSG00000026361	1	Cdc73
Cdca2	Cdca2	ENSMUSG00000048922	14	Cdca2
Cdca3	Cdca3	ENSMUSG00000023505	6	Cdca3
Cdca4	Cdca4	ENSMUSG00000047832	12	Cdca4
Cdca5	Cdca5	ENSMUSG00000024791	19	Cdca5
Cdca7	Cdca7	ENSMUSG00000055612	2	Cdca7
Cdca7l	Cdca7l	ENSMUSG00000021175	12	Cdca7l
Cdca8	Cdca8	ENSMUSG00000028873	4	Cdca8
Cdcp1	Cdcp1	ENSMUSG00000035498	9	Cdcp1
Cdcp2	Cdcp2	ENSMUSG00000047636	4	Cdcp2
Cdh1	Cdh1	ENSMUSG00000000303	8	Cdh1
Cdh10	Cdh10	ENSMUSG00000022321	15	Cdh10
Cdh11	Cdh11	ENSMUSG00000031673	8	Cdh11
Cdh12	Cdh12	ENSMUSG00000040452	15	Cdh12
Cdh13	Cdh13	ENSMUSG00000031841	8	Cdh13
Cdh15	Cdh15	ENSMUSG00000031962	8	Cdh15
Cdh16	Cdh16	ENSMUSG00000031881	8	Cdh16
Cdh17	Cdh17	ENSMUSG00000028217	4	Cdh17
Cdh18	Cdh18	ENSMUSG00000040420	15	Cdh18
Cdh19	Cdh19	ENSMUSG00000047216	1	Cdh19
Cdh2	Cdh2	ENSMUSG00000024304	18	Cdh2
Cdh20	Cdh20	ENSMUSG00000050840	1	Cdh20
Cdh22	Cdh22	ENSMUSG00000053166	2	Cdh22
Cdh23	Cdh23	ENSMUSG00000012819	10	Cdh23
Cdh24	Cdh24	ENSMUSG00000059674	14	Cdh24
Cdh26	Cdh26	ENSMUSG00000039155	2	Cdh26
Cdh3	Cdh3	ENSMUSG00000061048	8	Cdh3
Cdh4	Cdh4	ENSMUSG00000000305	2	Cdh4
Cdh5	Cdh5	ENSMUSG00000031871	8	Cdh5
Cdh6	Cdh6	ENSMUSG00000039385	15	Cdh6
Cdh7	Cdh7	ENSMUSG00000026312	1	Cdh7
Cdh8	Cdh8	ENSMUSG00000036510	8	Cdh8
Cdh9	Cdh9	ENSMUSG00000025370	15	Cdh9
Cdhr1	Cdhr1	ENSMUSG00000021803	14	Cdhr1
Cdhr2	Cdhr2	ENSMUSG00000034918	13	Cdhr2
Cdhr3	Cdhr3	ENSMUSG00000035860	12	Cdhr3
Cdhr4	Cdhr4	ENSMUSG00000032595	9	Cdhr4
Cdhr5	Cdhr5	ENSMUSG00000025497	7	Cdhr5
Cdipt	Cdipt	ENSMUSG00000030682	7	Cdipt
Cdk1	Cdk1	ENSMUSG00000019942	10	Cdk1
Cdk10	Cdk10	ENSMUSG00000033862	8	Cdk10
Cdk11b	Cdk11b	ENSMUSG00000029062	4	Cdk11b
Cdk12	Cdk12	ENSMUSG00000003119	11	Cdk12
Cdk13	Cdk13	ENSMUSG00000041297	13	Cdk13
Cdk14	Cdk14	ENSMUSG00000028926	5	Cdk14
Cdk15	Cdk15	ENSMUSG00000026023	1	Cdk15
Cdk16	Cdk16	ENSMUSG00000031065	X	Cdk16
Cdk17	Cdk17	ENSMUSG00000020015	10	Cdk17
Cdk18	Cdk18	ENSMUSG00000026437	1	Cdk18
Cdk19	Cdk19	ENSMUSG00000038481	10	Cdk19
Cdk2	Cdk2	ENSMUSG00000025358	10	Cdk2
Cdk20	Cdk20	ENSMUSG00000021483	13	Cdk20
Cdk2ap1	Cdk2ap1	ENSMUSG00000029394	5	Cdk2ap1
Cdk2ap2	Cdk2ap2	ENSMUSG00000097485	CHR_MG153_PATCH	Cdk2ap2
Cdk3-ps	Cdk3-ps	ENSMUSG00000092300	11	Cdk3-ps
Cdk4	Cdk4	ENSMUSG00000006728	10	Cdk4
Cdk5	Cdk5	ENSMUSG00000028969	5	Cdk5
Cdk5r1	Cdk5r1	ENSMUSG00000048895	11	Cdk5r1
Cdk5r2	Cdk5r2	ENSMUSG00000090071	1	Cdk5r2
Cdk5rap1	Cdk5rap1	ENSMUSG00000027487	2	Cdk5rap1
Cdk5rap2	Cdk5rap2	ENSMUSG00000039298	4	Cdk5rap2
Cdk5rap3	Cdk5rap3	ENSMUSG00000018669	11	Cdk5rap3
Cdk6	Cdk6	ENSMUSG00000040274	5	Cdk6
Cdk7	Cdk7	ENSMUSG00000069089	13	Cdk7
Cdk8	Cdk8	ENSMUSG00000029635	5	Cdk8
Cdk9	Cdk9	ENSMUSG00000009555	2	Cdk9
Cdkal1	Cdkal1	ENSMUSG00000006191	13	Cdkal1
Cdkl1	Cdkl1	ENSMUSG00000020990	12	Cdkl1
Cdkl2	Cdkl2	ENSMUSG00000029403	5	Cdkl2
Cdkl3	Cdkl3	ENSMUSG00000020389	11	Cdkl3
Cdkl4	Cdkl4	ENSMUSG00000033966	17	Cdkl4
Cdkl5	Cdkl5	ENSMUSG00000031292	X	Cdkl5
Cdkn1a	Cdkn1a	ENSMUSG00000023067	17	Cdkn1a
Cdkn1b	Cdkn1b	ENSMUSG00000003031	6	Cdkn1b
Cdkn1c	Cdkn1c	ENSMUSG00000037664	7	Cdkn1c
Cdkn2a	Cdkn2a	ENSMUSG00000044303	4	Cdkn2a
Cdkn2aip	Cdkn2aip	ENSMUSG00000038069	8	Cdkn2aip
Cdkn2aipnl	Cdkn2aipnl	ENSMUSG00000020392	11	Cdkn2aipnl
Cdkn2b	Cdkn2b	ENSMUSG00000073802	4	Cdkn2b
Cdkn2c	Cdkn2c	ENSMUSG00000028551	4	Cdkn2c
Cdkn2d	Cdkn2d	ENSMUSG00000096472	9	Cdkn2d
Cdkn3	Cdkn3	ENSMUSG00000037628	14	Cdkn3
Cdnf	Cdnf	ENSMUSG00000039496	2	Cdnf
Cdo1	Cdo1	ENSMUSG00000033022	18	Cdo1
Cdon	Cdon	ENSMUSG00000038119	9	Cdon
Cdr1	Cdr1	ENSMUSG00000090546	X	Cdr1
Cdr2	Cdr2	ENSMUSG00000030878	7	Cdr2
Cdr2l	Cdr2l	ENSMUSG00000050910	11	Cdr2l
Cdrt4	Cdrt4	ENSMUSG00000042200	11	Cdrt4
Cds1	Cds1	ENSMUSG00000029330	5	Cds1
Cds2	Cds2	ENSMUSG00000058793	2	Cds2
Cdsn	Cdsn	ENSMUSG00000039518	17	Cdsn
Cdt1	Cdt1	ENSMUSG00000006585	8	Cdt1
Cdv3	Cdv3	ENSMUSG00000032803	9	Cdv3
Cdx1	Cdx1	ENSMUSG00000024619	18	Cdx1
Cdx2	Cdx2	ENSMUSG00000029646	5	Cdx2
Cdx4	Cdx4	ENSMUSG00000031326	X	Cdx4
Cdyl	Cdyl	ENSMUSG00000059288	13	Cdyl
Cdyl2	Cdyl2	ENSMUSG00000031758	8	Cdyl2
Ceacam1	Ceacam1	ENSMUSG00000074272	7	Ceacam1
Ceacam10	Ceacam10	ENSMUSG00000054169	7	Ceacam10
Ceacam11	Ceacam11	ENSMUSG00000030368	7	Ceacam11
Ceacam12	Ceacam12	ENSMUSG00000030366	7	Ceacam12
Ceacam13	Ceacam13	ENSMUSG00000057195	7	Ceacam13
Ceacam14	Ceacam14	ENSMUSG00000023185	7	Ceacam14
Ceacam15	Ceacam15	ENSMUSG00000078795	7	Ceacam15
Ceacam16	Ceacam16	ENSMUSG00000014686	7	Ceacam16
Ceacam18	Ceacam18	ENSMUSG00000030472	7	Ceacam18
Ceacam19	Ceacam19	ENSMUSG00000049848	7	Ceacam19
Ceacam2	Ceacam2	ENSMUSG00000054385	7	Ceacam2
Ceacam20	Ceacam20	ENSMUSG00000070777	7	Ceacam20
Ceacam3	Ceacam3	ENSMUSG00000053228	7	Ceacam3
Ceacam5	Ceacam5	ENSMUSG00000008789	7	Ceacam5
Ceacam9	Ceacam9	ENSMUSG00000007209	7	Ceacam9
Cebpa	Cebpa	ENSMUSG00000034957	7	Cebpa
Cebpb	Cebpb	ENSMUSG00000056501	2	Cebpb
Cebpd	Cebpd	ENSMUSG00000071637	16	Cebpd
Cebpe	Cebpe	ENSMUSG00000052435	14	Cebpe
Cebpg	Cebpg	ENSMUSG00000056216	7	Cebpg
Cebpz	Cebpz	ENSMUSG00000024081	17	Cebpz
Cecr2	Cecr2	ENSMUSG00000071226	6	Cecr2
Cecr5	NA	NA	NA	Cecr5
Cecr6	NA	NA	NA	Cecr6
Cel	Cel	ENSMUSG00000026818	2	Cel
Cela1	Cela1	ENSMUSG00000023031	15	Cela1
Cela2a	Cela2a	ENSMUSG00000058579	4	Cela2a
Cela3b	Cela3b	ENSMUSG00000023433	4	Cela3b
Celf1	Celf1	ENSMUSG00000110883	CHR_MG191_PATCH	Celf1
Celf2	Celf2	ENSMUSG00000002107	2	Celf2
Celf3	Celf3	ENSMUSG00000028137	3	Celf3
Celf4	Celf4	ENSMUSG00000024268	18	Celf4
Celf5	Celf5	ENSMUSG00000034818	10	Celf5
Celf6	Celf6	ENSMUSG00000032297	9	Celf6
Celsr1	Celsr1	ENSMUSG00000016028	15	Celsr1
Celsr2	Celsr2	ENSMUSG00000068740	3	Celsr2
Celsr3	Celsr3	ENSMUSG00000107269	CHR_MG117_PATCH	Celsr3
Cend1	Cend1	ENSMUSG00000060240	7	Cend1
Cenpa	Cenpa	ENSMUSG00000029177	5	Cenpa
Cenpb	Cenpb	ENSMUSG00000068267	2	Cenpb
Cenpc1	Cenpc1	ENSMUSG00000029253	5	Cenpc1
Cenpe	Cenpe	ENSMUSG00000045328	3	Cenpe
Cenpf	Cenpf	ENSMUSG00000026605	1	Cenpf
Cenph	Cenph	ENSMUSG00000045273	13	Cenph
Cenpi	Cenpi	ENSMUSG00000031262	X	Cenpi
Cenpj	Cenpj	ENSMUSG00000064128	14	Cenpj
Cenpk	Cenpk	ENSMUSG00000021714	13	Cenpk
Cenpl	Cenpl	ENSMUSG00000026708	1	Cenpl
Cenpm	Cenpm	ENSMUSG00000068101	15	Cenpm
Cenpn	Cenpn	ENSMUSG00000031756	8	Cenpn
Cenpo	Cenpo	ENSMUSG00000020652	12	Cenpo
Cenpp	Cenpp	ENSMUSG00000021391	13	Cenpp
Cenpq	Cenpq	ENSMUSG00000023919	17	Cenpq
Cenpt	Cenpt	ENSMUSG00000036672	8	Cenpt
Cenpv	Cenpv	ENSMUSG00000018509	11	Cenpv
Cenpw	Cenpw	ENSMUSG00000075266	10	Cenpw
Cep110	NA	NA	NA	Cep110
Cep120	Cep120	ENSMUSG00000048799	18	Cep120
Cep135	Cep135	ENSMUSG00000036403	5	Cep135
Cep152	Cep152	ENSMUSG00000068394	2	Cep152
Cep164	Cep164	ENSMUSG00000043987	9	Cep164
Cep170	Cep170	ENSMUSG00000057335	1	Cep170
Cep192	Cep192	ENSMUSG00000024542	18	Cep192
Cep250	Cep250	ENSMUSG00000038241	2	Cep250
Cep290	Cep290	ENSMUSG00000019971	10	Cep290
Cep350	Cep350	ENSMUSG00000033671	1	Cep350
Cep55	Cep55	ENSMUSG00000024989	19	Cep55
Cep57	Cep57	ENSMUSG00000031922	9	Cep57
Cep57l1	Cep57l1	ENSMUSG00000019813	10	Cep57l1
Cep63	Cep63	ENSMUSG00000032534	9	Cep63
Cep68	Cep68	ENSMUSG00000044066	11	Cep68
Cep70	Cep70	ENSMUSG00000056267	9	Cep70
Cep72	Cep72	ENSMUSG00000021572	13	Cep72
Cep76	Cep76	ENSMUSG00000073542	18	Cep76
Cep78	Cep78	ENSMUSG00000041491	19	Cep78
Cep97	Cep97	ENSMUSG00000022604	16	Cep97
Cept1	Cept1	ENSMUSG00000040774	3	Cept1
Cer1	Cer1	ENSMUSG00000038192	4	Cer1
Cercam	Cercam	ENSMUSG00000039787	2	Cercam
Cerk	Cerk	ENSMUSG00000035891	15	Cerk
Cerkl	Cerkl	ENSMUSG00000075256	2	Cerkl
Ces1a	Ces1a	ENSMUSG00000071047	8	Ces1a
Ces1b	Ces1b	ENSMUSG00000078964	8	Ces1b
Ces1c	Ces1c	ENSMUSG00000057400	8	Ces1c
Ces1d	Ces1d	ENSMUSG00000056973	8	Ces1d
Ces1e	Ces1e	ENSMUSG00000061959	8	Ces1e
Ces1f	Ces1f	ENSMUSG00000031725	8	Ces1f
Ces1g	Ces1g	ENSMUSG00000057074	8	Ces1g
Ces1h	Ces1h	ENSMUSG00000074156	8	Ces1h
Ces2a	Ces2a	ENSMUSG00000055730	8	Ces2a
Ces2b	Ces2b	ENSMUSG00000050097	8	Ces2b
Ces2c	Ces2c	ENSMUSG00000061825	8	Ces2c
Ces2d-ps	Ces2d-ps	ENSMUSG00000031884	8	Ces2d-ps
Ces2e	Ces2e	ENSMUSG00000031886	8	Ces2e
Ces2f	Ces2f	ENSMUSG00000062826	8	Ces2f
Ces2g	Ces2g	ENSMUSG00000031877	8	Ces2g
Ces2h	Ces2h	ENSMUSG00000091813	8	Ces2h
Ces3a	Ces3a	ENSMUSG00000069922	8	Ces3a
Ces3b	Ces3b	ENSMUSG00000062181	8	Ces3b
Ces4a	Ces4a	ENSMUSG00000060560	8	Ces4a
Ces5a	Ces5a	ENSMUSG00000058019	8	Ces5a
Cetn1	Cetn1	ENSMUSG00000050996	18	Cetn1
Cetn2	Cetn2	ENSMUSG00000031347	X	Cetn2
Cetn3	Cetn3	ENSMUSG00000021537	13	Cetn3
Cetn4	Cetn4	ENSMUSG00000045031	3	Cetn4
Cfb	Cfb	ENSMUSG00000090231	17	Cfb
Cfc1	Cfc1	ENSMUSG00000026124	1	Cfc1
Cfd	Cfd	ENSMUSG00000061780	10	Cfd
Cfdp1	Cfdp1	ENSMUSG00000031954	8	Cfdp1
Cfh	Cfh	ENSMUSG00000026365	1	Cfh
Cfhr1	Cfhr1	ENSMUSG00000057037	1	Cfhr1
Cfhr2	Cfhr2	ENSMUSG00000033898	1	Cfhr2
Cfhr3	Cfhr3	ENSMUSG00000090623	1	Cfhr3
Cfi	Cfi	ENSMUSG00000058952	3	Cfi
Cfl1	Cfl1	ENSMUSG00000056201	19	Cfl1
Cfl2	Cfl2	ENSMUSG00000062929	12	Cfl2
Cflar	Cflar	ENSMUSG00000026031	1	Cflar
Cfp	Cfp	ENSMUSG00000001128	X	Cfp
Cftr	Cftr	ENSMUSG00000041301	6	Cftr
Cga	Cga	ENSMUSG00000028298	4	Cga
Cggbp1	Cggbp1	ENSMUSG00000054604	16	Cggbp1
Cgn	Cgn	ENSMUSG00000068876	3	Cgn
Cgnl1	Cgnl1	ENSMUSG00000032232	9	Cgnl1
Cgref1	Cgref1	ENSMUSG00000029161	5	Cgref1
Cgrrf1	Cgrrf1	ENSMUSG00000055128	14	Cgrrf1
Ch25h	Ch25h	ENSMUSG00000050370	19	Ch25h
Chac1	Chac1	ENSMUSG00000027313	2	Chac1
Chac2	Chac2	ENSMUSG00000020309	11	Chac2
Chad	Chad	ENSMUSG00000039084	11	Chad
Chadl	Chadl	ENSMUSG00000063765	15	Chadl
Chaf1a	Chaf1a	ENSMUSG00000002835	17	Chaf1a
Chaf1b	Chaf1b	ENSMUSG00000022945	16	Chaf1b
Chat	Chat	ENSMUSG00000021919	14	Chat
Chchd1	Chchd1	ENSMUSG00000063787	14	Chchd1
Chchd10	Chchd10	ENSMUSG00000049422	10	Chchd10
Chchd2	Chchd2	ENSMUSG00000070493	5	Chchd2
Chchd3	Chchd3	ENSMUSG00000053768	6	Chchd3
Chchd4	Chchd4	ENSMUSG00000034203	6	Chchd4
Chchd5	Chchd5	ENSMUSG00000037938	2	Chchd5
Chchd6	Chchd6	ENSMUSG00000030086	6	Chchd6
Chchd7	Chchd7	ENSMUSG00000042198	4	Chchd7
Chchd8	NA	NA	NA	Chchd8
Chd1	Chd1	ENSMUSG00000023852	17	Chd1
Chd1l	Chd1l	ENSMUSG00000028089	3	Chd1l
Chd2	Chd2	ENSMUSG00000078671	7	Chd2
Chd3	Chd3	ENSMUSG00000018474	11	Chd3
Chd4	Chd4	ENSMUSG00000063870	6	Chd4
Chd5	Chd5	ENSMUSG00000005045	4	Chd5
Chd6	Chd6	ENSMUSG00000057133	2	Chd6
Chd7	Chd7	ENSMUSG00000041235	4	Chd7
Chd8	Chd8	ENSMUSG00000053754	14	Chd8
Chd9	Chd9	ENSMUSG00000056608	8	Chd9
Chdh	Chdh	ENSMUSG00000015970	14	Chdh
Chek1	Chek1	ENSMUSG00000032113	9	Chek1
Chek2	Chek2	ENSMUSG00000029521	5	Chek2
Cherp	Cherp	ENSMUSG00000052488	8	Cherp
Chfr	Chfr	ENSMUSG00000014668	5	Chfr
Chga	Chga	ENSMUSG00000021194	12	Chga
Chgb	Chgb	ENSMUSG00000027350	2	Chgb
Chi3l1	NA	NA	NA	Chi3l1
Chi3l3	NA	NA	NA	Chi3l3
Chi3l4	NA	NA	NA	Chi3l4
Chi3l7	NA	NA	NA	Chi3l7
Chia	NA	NA	NA	Chia
Chic1	Chic1	ENSMUSG00000031327	X	Chic1
Chic2	Chic2	ENSMUSG00000029229	5	Chic2
Chid1	Chid1	ENSMUSG00000025512	7	Chid1
Chit1	Chit1	ENSMUSG00000026450	1	Chit1
Chka	Chka	ENSMUSG00000024843	19	Chka
Chkb	Chkb	ENSMUSG00000022617	15	Chkb
Chl1	Chl1	ENSMUSG00000030077	6	Chl1
Chm	Chm	ENSMUSG00000025531	X	Chm
Chml	Chml	ENSMUSG00000078185	1	Chml
Chmp1a	Chmp1a	ENSMUSG00000000743	8	Chmp1a
Chmp1b	Chmp1b	ENSMUSG00000109901	18	Chmp1b
Chmp2a	Chmp2a	ENSMUSG00000033916	7	Chmp2a
Chmp2b	Chmp2b	ENSMUSG00000004843	16	Chmp2b
Chmp3	Chmp3	ENSMUSG00000053119	6	Chmp3
Chmp4b	Chmp4b	ENSMUSG00000038467	2	Chmp4b
Chmp4c	Chmp4c	ENSMUSG00000027536	3	Chmp4c
Chmp5	Chmp5	ENSMUSG00000028419	4	Chmp5
Chmp6	Chmp6	ENSMUSG00000025371	11	Chmp6
Chmp7	Chmp7	ENSMUSG00000034190	14	Chmp7
Chn1	Chn1	ENSMUSG00000056486	2	Chn1
Chn2	Chn2	ENSMUSG00000004633	6	Chn2
Chodl	Chodl	ENSMUSG00000022860	16	Chodl
Chordc1	Chordc1	ENSMUSG00000001774	9	Chordc1
Chpf	Chpf	ENSMUSG00000032997	1	Chpf
Chpf2	Chpf2	ENSMUSG00000038181	5	Chpf2
Chpt1	Chpt1	ENSMUSG00000060002	10	Chpt1
Chrac1	Chrac1	ENSMUSG00000068391	15	Chrac1
Chrd	Chrd	ENSMUSG00000006958	16	Chrd
Chrdl1	Chrdl1	ENSMUSG00000031283	X	Chrdl1
Chrdl2	Chrdl2	ENSMUSG00000030732	7	Chrdl2
Chrm1	Chrm1	ENSMUSG00000032773	19	Chrm1
Chrm2	Chrm2	ENSMUSG00000045613	6	Chrm2
Chrm3	Chrm3	ENSMUSG00000046159	13	Chrm3
Chrm4	Chrm4	ENSMUSG00000040495	2	Chrm4
Chrm5	Chrm5	ENSMUSG00000074939	2	Chrm5
Chrna1	Chrna1	ENSMUSG00000027107	2	Chrna1
Chrna10	Chrna10	ENSMUSG00000066279	7	Chrna10
Chrna2	Chrna2	ENSMUSG00000022041	14	Chrna2
Chrna3	Chrna3	ENSMUSG00000032303	9	Chrna3
Chrna4	Chrna4	ENSMUSG00000027577	2	Chrna4
Chrna5	Chrna5	ENSMUSG00000035594	9	Chrna5
Chrna6	Chrna6	ENSMUSG00000031491	8	Chrna6
Chrna7	Chrna7	ENSMUSG00000030525	7	Chrna7
Chrna9	Chrna9	ENSMUSG00000029205	5	Chrna9
Chrnb1	Chrnb1	ENSMUSG00000041189	11	Chrnb1
Chrnb2	Chrnb2	ENSMUSG00000027950	3	Chrnb2
Chrnb3	Chrnb3	ENSMUSG00000031492	8	Chrnb3
Chrnb4	Chrnb4	ENSMUSG00000035200	9	Chrnb4
Chrnd	Chrnd	ENSMUSG00000026251	1	Chrnd
Chrne	Chrne	ENSMUSG00000014609	11	Chrne
Chrng	Chrng	ENSMUSG00000026253	1	Chrng
Chst1	Chst1	ENSMUSG00000027221	2	Chst1
Chst10	Chst10	ENSMUSG00000026080	1	Chst10
Chst11	Chst11	ENSMUSG00000034612	10	Chst11
Chst12	Chst12	ENSMUSG00000036599	5	Chst12
Chst13	Chst13	ENSMUSG00000056643	6	Chst13
Chst14	Chst14	ENSMUSG00000074916	2	Chst14
Chst15	Chst15	ENSMUSG00000030930	7	Chst15
Chst2	Chst2	ENSMUSG00000033350	9	Chst2
Chst3	Chst3	ENSMUSG00000057337	10	Chst3
Chst4	Chst4	ENSMUSG00000035930	8	Chst4
Chst5	Chst5	ENSMUSG00000031952	8	Chst5
Chst7	Chst7	ENSMUSG00000037347	X	Chst7
Chst8	Chst8	ENSMUSG00000060402	7	Chst8
Chst9	Chst9	ENSMUSG00000047161	18	Chst9
Chsy1	Chsy1	ENSMUSG00000032640	7	Chsy1
Chsy3	Chsy3	ENSMUSG00000058152	18	Chsy3
Chtf18	Chtf18	ENSMUSG00000019214	17	Chtf18
Chtf8	Chtf8	ENSMUSG00000117748	8	Chtf8
Chuk	Chuk	ENSMUSG00000025199	19	Chuk
Churc1	Churc1	ENSMUSG00000090258	12	Churc1
Ciao1	Ciao1	ENSMUSG00000003662	2	Ciao1
Ciapin1	Ciapin1	ENSMUSG00000031781	8	Ciapin1
Cib1	Cib1	ENSMUSG00000030538	7	Cib1
Cib2	Cib2	ENSMUSG00000037493	9	Cib2
Cib3	Cib3	ENSMUSG00000074240	8	Cib3
Cib4	Cib4	ENSMUSG00000053194	5	Cib4
Cic	Cic	ENSMUSG00000005442	7	Cic
Cidea	Cidea	ENSMUSG00000024526	18	Cidea
Cideb	Cideb	ENSMUSG00000022219	14	Cideb
Cidec	Cidec	ENSMUSG00000030278	6	Cidec
Ciita	Ciita	ENSMUSG00000022504	16	Ciita
Cilp	Cilp	ENSMUSG00000042254	9	Cilp
Cilp2	Cilp2	ENSMUSG00000044006	8	Cilp2
Cinp	Cinp	ENSMUSG00000021276	12	Cinp
Cir1	Cir1	ENSMUSG00000041777	2	Cir1
Cirbp	Cirbp	ENSMUSG00000045193	10	Cirbp
Cirh1a	NA	NA	NA	Cirh1a
Cisd1	Cisd1	ENSMUSG00000037710	10	Cisd1
Cisd2	Cisd2	ENSMUSG00000028165	3	Cisd2
Cisd3	Cisd3	ENSMUSG00000078695	11	Cisd3
Cish	Cish	ENSMUSG00000032578	9	Cish
Cit	Cit	ENSMUSG00000029516	5	Cit
Cited1	Cited1	ENSMUSG00000051159	X	Cited1
Cited2	Cited2	ENSMUSG00000039910	10	Cited2
Cited4	Cited4	ENSMUSG00000070803	4	Cited4
Ciz1	Ciz1	ENSMUSG00000039205	2	Ciz1
Ckap2	Ckap2	ENSMUSG00000037725	8	Ckap2
