ensembl_gene_id	chromosome_name
YOL114C	YOL114C	XV
YOL113W	YOL113W	XV
YOL112W	YOL112W	XV
YOL111C	YOL111C	XV
YOL110W	YOL110W	XV
YOL109W	YOL109W	XV
YOL108C	YOL108C	XV
YOL107W	YOL107W	XV
YOL106W	YOL106W	XV
YOL105C	YOL105C	XV
YOL104C	YOL104C	XV
YOL103W.B	YOL103W.B	NA
YOL103W.A	YOL103W.A	NA
YOL103W	YOL103W	XV
YOL102C	YOL102C	XV
YOL101C	YOL101C	XV
YOL100W	YOL100W	XV
YOL099C	YOL099C	XV
YOL098C	YOL098C	XV
snR58	snR58	XV
YOL097W.A	YOL097W.A	NA
YOL097C	YOL097C	XV
YOL096C	YOL096C	XV
YOL095C	YOL095C	XV
YOL094C	YOL094C	XV
YOL093W	YOL093W	XV
YOL092W	YOL092W	XV
YOL091W	YOL091W	XV
YOL090W	YOL090W	XV
YOL089C	YOL089C	XV
YOL088C	YOL088C	XV
YOL087C	YOL087C	XV
YOL086W.A	YOL086W.A	NA
YOL086C	YOL086C	XV
YOL085W.A	YOL085W.A	NA
YOL085C	YOL085C	XV
YOL084W	YOL084W	XV
YOL083W	YOL083W	XV
YOL083C.A	YOL083C.A	NA
YOL082W	YOL082W	XV
YOL081W	YOL081W	XV
YOL080C	YOL080C	XV
YOL079W	YOL079W	XV
YOL078W	YOL078W	XV
YOL077W.A	YOL077W.A	NA
YOL077C	YOL077C	XV
YOL076W	YOL076W	XV
YOL075C	YOL075C	XV
YOL073C	YOL073C	XV
YOL072W	YOL072W	XV
YOL071W	YOL071W	XV
YOL070C	YOL070C	XV
YOL069W	YOL069W	XV
YOL068C	YOL068C	XV
YOL067C	YOL067C	XV
YOL066C	YOL066C	XV
YOL065C	YOL065C	XV
YOL064C	YOL064C	XV
YOL063C	YOL063C	XV
YOL062C	YOL062C	XV
YOL061W	YOL061W	XV
YOL060C	YOL060C	XV
YOL059W	YOL059W	XV
YOL058W	YOL058W	XV
YOL057W	YOL057W	XV
YOL056W	YOL056W	XV
YOL055C	YOL055C	XV
YOL054W	YOL054W	XV
YOL053W	YOL053W	XV
YOL052C.A	YOL052C.A	NA
YOL052C	YOL052C	XV
snR81	snR81	XV
YOL051W	YOL051W	XV
YOL050C	YOL050C	XV
YOL049W	YOL049W	XV
YOL048C	YOL048C	XV
YOL047C	YOL047C	XV
YOL046C	YOL046C	XV
YOL045W	YOL045W	XV
YOL044W	YOL044W	XV
YOL043C	YOL043C	XV
YOL042W	YOL042W	XV
YOL041C	YOL041C	XV
YOL040C	YOL040C	XV
YOL039W	YOL039W	XV
YOL038C.A	YOL038C.A	NA
YOL038W	YOL038W	XV
YOL037C	YOL037C	XV
YOL036W	YOL036W	XV
YOL035C	YOL035C	XV
snR50	snR50	XV
YOL034W	YOL034W	XV
YOL033W	YOL033W	XV
YOL032W	YOL032W	XV
YOL031C	YOL031C	XV
YOL030W	YOL030W	XV
YOL029C	YOL029C	XV
YOL028C	YOL028C	XV
YOL027C	YOL027C	XV
YOL026C	YOL026C	XV
YOL025W	YOL025W	XV
YOL024W	YOL024W	XV
YOL023W	YOL023W	XV
YOL022C	YOL022C	XV
YOL021C	YOL021C	XV
YOL020W	YOL020W	XV
YOL019W.A	YOL019W.A	NA
YOL019W	YOL019W	XV
YOL018C	YOL018C	XV
YOL017W	YOL017W	XV
YOL016C	YOL016C	XV
YOL015W	YOL015W	XV
YOL014W	YOL014W	XV
YOL013W.B	YOL013W.B	NA
YOL013W.A	YOL013W.A	NA
YOL013C	YOL013C	XV
YOL012C	YOL012C	XV
YOL011W	YOL011W	XV
YOL010W	YOL010W	XV
YOL009C	YOL009C	XV
YOL008W	YOL008W	XV
YOL007C	YOL007C	XV
YOL006C	YOL006C	XV
YOL005C	YOL005C	XV
YOL004W	YOL004W	XV
YOL003C	YOL003C	XV
YOL002C	YOL002C	XV
YOL001W	YOL001W	XV
YOR001W	YOR001W	XV
YOR002W	YOR002W	XV
YOR003W	YOR003W	XV
YOR004W	YOR004W	XV
YOR005C	YOR005C	XV
YOR006C	YOR006C	XV
YOR007C	YOR007C	XV
YOR008C	YOR008C	XV
YOR008C.A	YOR008C.A	NA
YOR008W.B	YOR008W.B	NA
YOR009W	YOR009W	XV
YOR010C	YOR010C	XV
YOR011W	YOR011W	XV
YOR011W.A	YOR011W.A	NA
YOR012W	YOR012W	XV
YOR013W	YOR013W	XV
YOR014W	YOR014W	XV
YOR015W	YOR015W	XV
YOR016C	YOR016C	XV
YOR017W	YOR017W	XV
YOR018W	YOR018W	XV
YOR019W	YOR019W	XV
YOR020C	YOR020C	XV
YOR020W.A	YOR020W.A	NA
YOR021C	YOR021C	XV
YOR022C	YOR022C	XV
YOR023C	YOR023C	XV
YOR024W	YOR024W	XV
YOR025W	YOR025W	XV
YOR026W	YOR026W	XV
YOR027W	YOR027W	XV
YOR028C	YOR028C	XV
YOR029W	YOR029W	XV
YOR030W	YOR030W	XV
YOR031W	YOR031W	NA
YOR032C	YOR032C	XV
YOR032W.A	YOR032W.A	NA
YOR033C	YOR033C	XV
YOR034C	YOR034C	XV
YOR034C.A	YOR034C.A	NA
YOR035C	YOR035C	XV
YOR036W	YOR036W	XV
YOR037W	YOR037W	XV
YOR038C	YOR038C	XV
YOR039W	YOR039W	XV
YOR040W	YOR040W	XV
snR9	snR9	XV
YOR041C	YOR041C	XV
YOR042W	YOR042W	XV
snR62	snR62	XV
YOR043W	YOR043W	XV
YOR044W	YOR044W	XV
YOR045W	YOR045W	XV
YOR046C	YOR046C	XV
YOR047C	YOR047C	XV
YOR048C	YOR048C	XV
YOR049C	YOR049C	XV
YOR050C	YOR050C	XV
YOR051C	YOR051C	XV
YOR052C	YOR052C	XV
YOR053W	YOR053W	XV
YOR054C	YOR054C	XV
YOR055W	YOR055W	XV
YOR056C	YOR056C	XV
YOR057W	YOR057W	XV
YOR058C	YOR058C	XV
YOR059C	YOR059C	XV
YOR060C	YOR060C	XV
YOR061W	YOR061W	XV
YOR062C	YOR062C	XV
YOR063W	YOR063W	XV
YOR064C	YOR064C	XV
YOR065W	YOR065W	XV
YOR066W	YOR066W	XV
YOR067C	YOR067C	XV
YOR069W	YOR069W	XV
YOR068C	YOR068C	XV
YOR070C	YOR070C	XV
YOR071C	YOR071C	XV
YOR072W	YOR072W	XV
YOR072W.A	YOR072W.A	NA
YOR072W.B	YOR072W.B	NA
YOR073W	YOR073W	XV
YOR074C	YOR074C	XV
YOR073W.A	YOR073W.A	NA
YOR075W	YOR075W	XV
YOR076C	YOR076C	XV
YOR077W	YOR077W	XV
YOR078W	YOR078W	XV
YOR079C	YOR079C	XV
YOR080W	YOR080W	XV
YOR081C	YOR081C	XV
YOR082C	YOR082C	XV
YOR083W	YOR083W	XV
YOR084W	YOR084W	XV
YOR085W	YOR085W	XV
YOR086C	YOR086C	XV
YOR087W	YOR087W	XV
YOR089C	YOR089C	XV
YOR090C	YOR090C	XV
YOR091W	YOR091W	XV
YOR092W	YOR092W	XV
YOR093C	YOR093C	XV
YOR094W	YOR094W	XV
YOR095C	YOR095C	XV
YOR096W	YOR096W	XV
YOR097C	YOR097C	XV
YOR098C	YOR098C	XV
YOR099W	YOR099W	XV
YOR100C	YOR100C	XV
YOR101W	YOR101W	XV
YOR102W	YOR102W	XV
YOR103C	YOR103C	XV
YOR104W	YOR104W	XV
YOR105W	YOR105W	XV
YOR106W	YOR106W	XV
YOR107W	YOR107W	XV
YOR108W	YOR108W	XV
YOR108C.A	YOR108C.A	NA
YOR109W	YOR109W	XV
YOR110W	YOR110W	XV
YOR111W	YOR111W	XV
YOR112W	YOR112W	XV
YOR113W	YOR113W	XV
YOR114W	YOR114W	XV
YOR115C	YOR115C	XV
YOR116C	YOR116C	XV
YOR117W	YOR117W	XV
YOR118W	YOR118W	XV
YOR119C	YOR119C	XV
YOR120W	YOR120W	XV
YOR121C	YOR121C	XV
YOR122C	YOR122C	XV
YOR123C	YOR123C	XV
YOR124C	YOR124C	XV
YOR125C	YOR125C	XV
YOR126C	YOR126C	XV
YOR127W	YOR127W	XV
YOR128C	YOR128C	XV
YOR129C	YOR129C	XV
YOR130C	YOR130C	XV
YOR131C	YOR131C	XV
YOR132W	YOR132W	XV
YOR133W	YOR133W	XV
YOR134W	YOR134W	XV
YOR135C	YOR135C	XV
YOR136W	YOR136W	XV
YOR137C	YOR137C	XV
YOR138C	YOR138C	XV
YOR139C	YOR139C	XV
YOR140W	YOR140W	XV
YOR141C	YOR141C	XV
YOR142W	YOR142W	XV
YOR142W.B	YOR142W.B	NA
YOR142W.A	YOR142W.A	NA
YOR143C	YOR143C	XV
YOR144C	YOR144C	XV
YOR145C	YOR145C	XV
YOR146W	YOR146W	XV
YOR147W	YOR147W	XV
YOR148C	YOR148C	XV
YOR149C	YOR149C	XV
YOR150W	YOR150W	XV
YOR151C	YOR151C	XV
YOR152C	YOR152C	XV
YOR153W	YOR153W	XV
YOR154W	YOR154W	XV
YOR155C	YOR155C	XV
YOR156C	YOR156C	XV
YOR157C	YOR157C	XV
YOR158W	YOR158W	XV
YOR159C	YOR159C	XV
YOR160W	YOR160W	XV
YOR161C	YOR161C	XV
YOR161W.A	YOR161W.A	NA
YOR161W.B	YOR161W.B	NA
YOR161C.C	YOR161C.C	NA
YOR162C	YOR162C	XV
YOR163W	YOR163W	XV
YOR164C	YOR164C	XV
YOR165W	YOR165W	XV
YOR166C	YOR166C	XV
YOR167C	YOR167C	XV
YOR168W	YOR168W	XV
YOR169C	YOR169C	XV
YOR170W	YOR170W	XV
YOR171C	YOR171C	XV
YOR172W	YOR172W	XV
YOR173W	YOR173W	XV
YOR174W	YOR174W	XV
YOR175C	YOR175C	XV
YOR176W	YOR176W	XV
YOR177C	YOR177C	XV
YOR178C	YOR178C	XV
YOR179C	YOR179C	XV
YOR180C	YOR180C	XV
YOR181W	YOR181W	XV
YOR182C	YOR182C	XV
YOR183W	YOR183W	XV
YOR184W	YOR184W	XV
snR36	snR36	XV
YOR185C	YOR185C	XV
YOR186W	YOR186W	XV
YOR186C.A	YOR186C.A	NA
YOR187W	YOR187W	XV
YOR188W	YOR188W	XV
YOR189W	YOR189W	XV
YOR190W	YOR190W	XV
YOR191W	YOR191W	XV
YOR192C	YOR192C	XV
YOR192C.C	YOR192C.C	NA
YOR192C.B	YOR192C.B	NA
YOR192C.A	YOR192C.A	NA
YOR193W	YOR193W	XV
YOR194C	YOR194C	XV
YOR195W	YOR195W	XV
YOR196C	YOR196C	XV
YOR197W	YOR197W	XV
YOR198C	YOR198C	XV
YOR199W	YOR199W	XV
YOR200W	YOR200W	XV
YOR201C	YOR201C	XV
YOR202W	YOR202W	XV
YOR203W	YOR203W	XV
YOR204W	YOR204W	XV
YOR205C	YOR205C	XV
YOR206W	YOR206W	XV
YOR207C	YOR207C	XV
YOR208W	YOR208W	XV
YOR209C	YOR209C	XV
YOR210W	YOR210W	XV
YOR211C	YOR211C	XV
YOR212W	YOR212W	XV
YOR213C	YOR213C	XV
YOR214C	YOR214C	XV
YOR215C	YOR215C	XV
YOR216C	YOR216C	XV
YOR217W	YOR217W	XV
YOR218C	YOR218C	XV
YOR219C	YOR219C	XV
YOR220W	YOR220W	XV
YOR221C	YOR221C	XV
YOR222W	YOR222W	XV
snR35	snR35	XV
YOR223W	YOR223W	XV
YOR224C	YOR224C	XV
YOR225W	YOR225W	XV
YOR226C	YOR226C	XV
YOR227W	YOR227W	XV
YOR228C	YOR228C	XV
YOR229W	YOR229W	XV
YOR230W	YOR230W	XV
YOR231W	YOR231W	XV
YOR231C.A	YOR231C.A	NA
YOR232W	YOR232W	XV
YOR233W	YOR233W	XV
YOR234C	YOR234C	XV
YOR235W	YOR235W	XV
snR17a	snR17a	XV
YOR236W	YOR236W	XV
YOR237W	YOR237W	XV
YOR238W	YOR238W	XV
YOR239W	YOR239W	XV
YOR241W	YOR241W	XV
YOR242C	YOR242C	XV
YOR243C	YOR243C	XV
YOR244W	YOR244W	XV
YOR245C	YOR245C	XV
YOR246C	YOR246C	XV
YOR247W	YOR247W	XV
YOR248W	YOR248W	XV
YOR249C	YOR249C	XV
YOR250C	YOR250C	XV
YOR251C	YOR251C	XV
YOR252W	YOR252W	XV
YOR253W	YOR253W	XV
YOR254C	YOR254C	XV
YOR255W	YOR255W	XV
YOR256C	YOR256C	XV
YOR257W	YOR257W	XV
YOR258W	YOR258W	XV
YOR259C	YOR259C	XV
YOR260W	YOR260W	XV
YOR261C	YOR261C	XV
YOR262W	YOR262W	XV
YOR263C	YOR263C	XV
YOR264W	YOR264W	XV
YOR265W	YOR265W	XV
YOR266W	YOR266W	XV
YOR267C	YOR267C	XV
YOR268C	YOR268C	XV
YOR269W	YOR269W	XV
YOR270C	YOR270C	XV
YOR271C	YOR271C	XV
snR8	snR8	XV
YOR272W	YOR272W	XV
YOR273C	YOR273C	XV
YOR274W	YOR274W	XV
YOR275C	YOR275C	XV
YOR276W	YOR276W	XV
YOR277C	YOR277C	XV
snR31	snR31	XV
snR5	snR5	XV
YOR278W	YOR278W	XV
YOR279C	YOR279C	XV
YOR280C	YOR280C	XV
YOR281C	YOR281C	XV
YOR282W	YOR282W	XV
YOR283W	YOR283W	XV
YOR284W	YOR284W	XV
YOR285W	YOR285W	XV
YOR286W	YOR286W	XV
YOR287C	YOR287C	XV
YOR288C	YOR288C	XV
YOR289W	YOR289W	XV
YOR290C	YOR290C	XV
YOR291W	YOR291W	XV
YOR292C	YOR292C	XV
YOR293W	YOR293W	XV
YOR293C.A	YOR293C.A	NA
YOR294W	YOR294W	XV
YOR295W	YOR295W	XV
YOR296W	YOR296W	XV
YOR297C	YOR297C	XV
YOR298W	YOR298W	XV
YOR298C.A	YOR298C.A	NA
YOR299W	YOR299W	XV
YOR300W	YOR300W	XV
YOR301W	YOR301W	XV
YOR302W	YOR302W	XV
YOR303W	YOR303W	XV
YOR304W	YOR304W	XV
YOR304C.A	YOR304C.A	NA
YOR305W	YOR305W	XV
YOR306C	YOR306C	XV
YOR307C	YOR307C	XV
YOR308C	YOR308C	XV
YOR309C	YOR309C	XV
YOR310C	YOR310C	XV
YOR311C	YOR311C	XV
YOR312C	YOR312C	XV
YOR313C	YOR313C	XV
YOR314W	YOR314W	XV
YOR314W.A	YOR314W.A	NA
YOR315W	YOR315W	XV
YOR316C	YOR316C	XV
YOR316C.A	YOR316C.A	NA
YOR317W	YOR317W	XV
YOR318C	YOR318C	XV
YOR319W	YOR319W	XV
YOR320C	YOR320C	XV
YOR321W	YOR321W	XV
YOR322C	YOR322C	XV
YOR323C	YOR323C	XV
YOR324C	YOR324C	XV
YOR325W	YOR325W	XV
YOR326W	YOR326W	XV
YOR327C	YOR327C	XV
YOR328W	YOR328W	XV
YOR329C	YOR329C	XV
YOR329W.A	YOR329W.A	NA
YOR330C	YOR330C	XV
YOR331C	YOR331C	XV
YOR332W	YOR332W	XV
YOR333C	YOR333C	XV
YOR334W	YOR334W	XV
YOR335C	YOR335C	XV
YOR335W.A	YOR335W.A	NA
YOR336W	YOR336W	XV
YOR337W	YOR337W	XV
YOR338W	YOR338W	XV
YOR339C	YOR339C	XV
YOR340C	YOR340C	XV
YOR341W	YOR341W	XV
YOR342C	YOR342C	XV
YOR343C	YOR343C	XV
YOR343W.B	YOR343W.B	NA
YOR343W.A	YOR343W.A	NA
YOR344C	YOR344C	XV
YOR345C	YOR345C	XV
YOR346W	YOR346W	XV
YOR347C	YOR347C	XV
YOR348C	YOR348C	XV
YOR349W	YOR349W	XV
YOR350C	YOR350C	XV
YOR351C	YOR351C	XV
YOR352W	YOR352W	XV
YOR353C	YOR353C	XV
YOR354C	YOR354C	XV
YOR355W	YOR355W	XV
YOR356W	YOR356W	XV
YOR357C	YOR357C	XV
YOR358W	YOR358W	XV
YOR359W	YOR359W	XV
YOR360C	YOR360C	XV
YOR361C	YOR361C	XV
YOR362C	YOR362C	XV
YOR363C	YOR363C	XV
YOR364W	YOR364W	XV
YOR365C	YOR365C	XV
YOR366W	YOR366W	XV
YOR367W	YOR367W	XV
YOR368W	YOR368W	XV
YOR369C	YOR369C	XV
YOR370C	YOR370C	XV
YOR371C	YOR371C	XV
YOR372C	YOR372C	XV
YOR373W	YOR373W	XV
YOR374W	YOR374W	XV
YOR375C	YOR375C	XV
YOR376W	YOR376W	XV
YOR376W.A	YOR376W.A	NA
YOR377W	YOR377W	XV
YOR378W	YOR378W	XV
YOR379C	YOR379C	XV
YOR380W	YOR380W	XV
YOR381W	YOR381W	XV
YOR381W.A	YOR381W.A	NA
YOR382W	YOR382W	XV
YOR383C	YOR383C	XV
YOR384W	YOR384W	XV
YOR385W	YOR385W	XV
YOR386W	YOR386W	XV
YOR387C	YOR387C	XV
YOR388C	YOR388C	XV
YOR389W	YOR389W	XV
YOR390W	YOR390W	XV
YOR391C	YOR391C	XV
YOR392W	YOR392W	XV
YOR393W	YOR393W	XV
YOR394W	YOR394W	XV
YOR394C.A	YOR394C.A	NA
YOR396W	YOR396W	XV
YOR396C.A	YOR396C.A	NA
YGL263W	YGL263W	VII
YGL262W	YGL262W	VII
YGL261C	YGL261C	VII
YGL260W	YGL260W	VII
YGL259W	YGL259W	VII
YGL258W.A	YGL258W.A	NA
YGL258W	YGL258W	VII
YGL257C	YGL257C	VII
YGL256W	YGL256W	VII
YGL255W	YGL255W	VII
YGL254W	YGL254W	VII
YGL253W	YGL253W	VII
YGL252C	YGL252C	VII
YGL251C	YGL251C	VII
YGL250W	YGL250W	VII
YGL249W	YGL249W	VII
YGL248W	YGL248W	VII
YGL247W	YGL247W	VII
YGL246C	YGL246C	VII
YGL245W	YGL245W	VII
YGL244W	YGL244W	VII
YGL243W	YGL243W	VII
YGL242C	YGL242C	VII
YGL241W	YGL241W	VII
YGL240W	YGL240W	VII
YGL239C	YGL239C	VII
YGL238W	YGL238W	VII
YGL237C	YGL237C	VII
YGL236C	YGL236C	VII
YGL235W	YGL235W	VII
YGL234W	YGL234W	VII
YGL233W	YGL233W	VII
YGL232W	YGL232W	VII
YGL231C	YGL231C	VII
YGL230C	YGL230C	VII
YGL229C	YGL229C	VII
YGL228W	YGL228W	VII
YGL227W	YGL227W	VII
YGL226C.A	YGL226C.A	NA
YGL226W	YGL226W	VII
YGL225W	YGL225W	VII
YGL224C	YGL224C	VII
YGL223C	YGL223C	VII
YGL222C	YGL222C	VII
YGL221C	YGL221C	VII
YGL220W	YGL220W	VII
YGL219C	YGL219C	VII
YGL218W	YGL218W	VII
YGL217C	YGL217C	VII
YGL216W	YGL216W	VII
YGL215W	YGL215W	VII
YGL214W	YGL214W	VII
YGL213C	YGL213C	VII
YGL212W	YGL212W	VII
YGL211W	YGL211W	VII
YGL210W	YGL210W	VII
YGL209W	YGL209W	VII
YGL208W	YGL208W	VII
YGL207W	YGL207W	VII
YGL206C	YGL206C	VII
YGL205W	YGL205W	VII
YGL204C	YGL204C	VII
YGL203C	YGL203C	VII
YGL202W	YGL202W	VII
YGL201C	YGL201C	VII
YGL200C	YGL200C	VII
YGL199C	YGL199C	VII
YGL198W	YGL198W	VII
YGL197W	YGL197W	VII
YGL196W	YGL196W	VII
YGL195W	YGL195W	VII
YGL194C.A	YGL194C.A	NA
YGL194C	YGL194C	VII
YGL193C	YGL193C	VII
YGL192W	YGL192W	VII
YGL191W	YGL191W	VII
YGL190C	YGL190C	VII
YGL189C	YGL189C	VII
YGL188C.A	YGL188C.A	NA
YGL188C	YGL188C	VII
YGL187C	YGL187C	VII
YGL186C	YGL186C	VII
YGL185C	YGL185C	VII
YGL184C	YGL184C	VII
YGL183C	YGL183C	VII
YGL182C	YGL182C	VII
YGL181W	YGL181W	VII
YGL180W	YGL180W	VII
YGL179C	YGL179C	VII
YGL178W	YGL178W	VII
YGL177W	YGL177W	VII
YGL176C	YGL176C	VII
YGL175C	YGL175C	VII
YGL174W	YGL174W	VII
YGL173C	YGL173C	VII
YGL172W	YGL172W	VII
YGL171W	YGL171W	VII
YGL170C	YGL170C	VII
YGL169W	YGL169W	VII
YGL168W	YGL168W	VII
YGL167C	YGL167C	VII
YGL166W	YGL166W	VII
YGL165C	YGL165C	VII
YGL164C	YGL164C	VII
YGL163C	YGL163C	VII
YGL162W	YGL162W	VII
YGL161C	YGL161C	VII
YGL160W	YGL160W	VII
YGL159W	YGL159W	VII
YGL158W	YGL158W	VII
YGL157W	YGL157W	VII
YGL156W	YGL156W	VII
YGL155W	YGL155W	VII
YGL154C	YGL154C	VII
YGL153W	YGL153W	VII
YGL152C	YGL152C	VII
YGL151W	YGL151W	VII
YGL150C	YGL150C	VII
YGL149W	YGL149W	VII
YGL148W	YGL148W	VII
YGL147C	YGL147C	VII
YGL146C	YGL146C	VII
YGL145W	YGL145W	VII
YGL144C	YGL144C	VII
YGL143C	YGL143C	VII
YGL142C	YGL142C	VII
YGL141W	YGL141W	VII
YGL140C	YGL140C	VII
YGL139W	YGL139W	VII
YGL138C	YGL138C	VII
YGL137W	YGL137W	VII
YGL136C	YGL136C	VII
YGL135W	YGL135W	VII
YGL134W	YGL134W	VII
YGL133W	YGL133W	VII
YGL132W	YGL132W	VII
YGL131C	YGL131C	VII
YGL130W	YGL130W	VII
YGL129C	YGL129C	VII
YGL128C	YGL128C	VII
YGL127C	YGL127C	VII
YGL126W	YGL126W	VII
YGL125W	YGL125W	VII
YGL124C	YGL124C	VII
YGL123W	YGL123W	VII
YGL123C.A	YGL123C.A	NA
YGL122C	YGL122C	VII
YGL121C	YGL121C	VII
YGL120C	YGL120C	VII
YGL119W	YGL119W	VII
YGL118C	YGL118C	VII
YGL117W	YGL117W	VII
YGL116W	YGL116W	VII
YGL115W	YGL115W	VII
YGL114W	YGL114W	VII
YGL113W	YGL113W	VII
YGL112C	YGL112C	VII
YGL111W	YGL111W	VII
YGL110C	YGL110C	VII
YGL109W	YGL109W	VII
YGL108C	YGL108C	VII
YGL107C	YGL107C	VII
YGL106W	YGL106W	VII
YGL105W	YGL105W	VII
YGL104C	YGL104C	VII
YGL103W	YGL103W	VII
YGL102C	YGL102C	VII
YGL101W	YGL101W	VII
YGL100W	YGL100W	VII
YGL099W	YGL099W	VII
snR82	snR82	VII
YGL098W	YGL098W	VII
YGL097W	YGL097W	VII
YGL096W	YGL096W	VII
YGL095C	YGL095C	VII
YGL094C	YGL094C	VII
YGL093W	YGL093W	VII
YGL092W	YGL092W	VII
YGL091C	YGL091C	VII
YGL090W	YGL090W	VII
YGL089C	YGL089C	VII
YGL088W	YGL088W	VII
snR10	snR10	VII
YGL087C	YGL087C	VII
YGL086W	YGL086W	VII
YGL085W	YGL085W	VII
YGL084C	YGL084C	VII
YGL083W	YGL083W	VII
YGL082W	YGL082W	VII
YGL081W	YGL081W	VII
YGL080W	YGL080W	VII
YGL079W	YGL079W	VII
YGL078C	YGL078C	VII
YGL077C	YGL077C	VII
YGL076C	YGL076C	VII
snR39	snR39	VII
snR39B	snR39B	VII
YGL075C	YGL075C	VII
YGL074C	YGL074C	VII
YGL073W	YGL073W	VII
YGL072C	YGL072C	VII
YGL071W	YGL071W	VII
YGL070C	YGL070C	VII
YGL069C	YGL069C	VII
YGL068W	YGL068W	VII
YGL067W	YGL067W	VII
YGL066W	YGL066W	VII
YGL065C	YGL065C	VII
YGL064C	YGL064C	VII
YGL063W	YGL063W	VII
YGL063C.A	YGL063C.A	NA
YGL062W	YGL062W	VII
YGL061C	YGL061C	VII
YGL060W	YGL060W	VII
YGL059W	YGL059W	VII
YGL058W	YGL058W	VII
YGL057C	YGL057C	VII
YGL056C	YGL056C	VII
YGL055W	YGL055W	VII
YGL054C	YGL054C	VII
YGL053W	YGL053W	VII
YGL052W	YGL052W	VII
YGL051W	YGL051W	VII
YGL050W	YGL050W	VII
YGL049C	YGL049C	VII
YGL048C	YGL048C	VII
YGL047W	YGL047W	VII
YGL045W	YGL045W	VII
YGL044C	YGL044C	VII
YGL043W	YGL043W	VII
YGL042C	YGL042C	VII
YGL041C.B	YGL041C.B	NA
YGL041W.A	YGL041W.A	NA
YGL041C	YGL041C	VII
YGL040C	YGL040C	VII
YGL039W	YGL039W	VII
YGL038C	YGL038C	VII
YGL037C	YGL037C	VII
YGL036W	YGL036W	VII
YGL035C	YGL035C	VII
YGL034C	YGL034C	VII
YGL033W	YGL033W	VII
YGL032C	YGL032C	VII
YGL031C	YGL031C	VII
YGL030W	YGL030W	VII
YGL029W	YGL029W	VII
YGL028C	YGL028C	VII
YGL027C	YGL027C	VII
YGL026C	YGL026C	VII
YGL025C	YGL025C	VII
YGL024W	YGL024W	VII
YGL023C	YGL023C	VII
YGL022W	YGL022W	VII
YGL021W	YGL021W	VII
YGL020C	YGL020C	VII
YGL019W	YGL019W	VII
YGL018C	YGL018C	VII
YGL017W	YGL017W	VII
YGL016W	YGL016W	VII
YGL015C	YGL015C	VII
YGL014W	YGL014W	VII
YGL014C.A	YGL014C.A	NA
YGL013C	YGL013C	VII
YGL012W	YGL012W	VII
YGL011C	YGL011C	VII
YGL010W	YGL010W	VII
YGL009C	YGL009C	VII
YGL008C	YGL008C	VII
YGL007C.A	YGL007C.A	NA
YGL007W	YGL007W	VII
YGL006W.A	YGL006W.A	NA
YGL006W	YGL006W	VII
YGL005C	YGL005C	VII
YGL004C	YGL004C	VII
YGL003C	YGL003C	VII
YGL002W	YGL002W	VII
YGL001C	YGL001C	VII
YGR001C	YGR001C	VII
YGR002C	YGR002C	VII
YGR003W	YGR003W	VII
YGR004W	YGR004W	VII
YGR005C	YGR005C	VII
YGR006W	YGR006W	VII
YGR007W	YGR007W	VII
YGR008C	YGR008C	VII
YGR009C	YGR009C	VII
YGR010W	YGR010W	VII
YGR011W	YGR011W	VII
YGR012W	YGR012W	VII
YGR013W	YGR013W	VII
YGR014W	YGR014W	VII
YGR015C	YGR015C	VII
YGR016W	YGR016W	VII
YGR017W	YGR017W	VII
YGR018C	YGR018C	VII
YGR019W	YGR019W	VII
YGR020C	YGR020C	VII
YGR021W	YGR021W	VII
YGR022C	YGR022C	VII
YGR023W	YGR023W	VII
YGR024C	YGR024C	VII
YGR025W	YGR025W	VII
YGR026W	YGR026W	VII
YGR027C	YGR027C	VII
YGR027W.A	YGR027W.A	NA
YGR027W.B	YGR027W.B	NA
YGR028W	YGR028W	VII
YGR029W	YGR029W	VII
snR46	snR46	VII
YGR030C	YGR030C	VII
YGR031W	YGR031W	VII
YGR031C.A	YGR031C.A	NA
YGR032W	YGR032W	VII
YGR033C	YGR033C	VII
YGR034W	YGR034W	VII
YGR035C	YGR035C	VII
YGR035W.A	YGR035W.A	NA
YGR036C	YGR036C	VII
YGR037C	YGR037C	VII
YGR038W	YGR038W	VII
YGR038C.B	YGR038C.B	NA
YGR038C.A	YGR038C.A	NA
YGR039W	YGR039W	VII
YGR040W	YGR040W	VII
YGR041W	YGR041W	VII
YGR042W	YGR042W	VII
YGR043C	YGR043C	VII
YGR044C	YGR044C	VII
YGR045C	YGR045C	VII
YGR046W	YGR046W	VII
YGR047C	YGR047C	VII
YGR048W	YGR048W	VII
YGR049W	YGR049W	VII
YGR050C	YGR050C	VII
YGR051C	YGR051C	VII
YGR052W	YGR052W	VII
YGR053C	YGR053C	VII
YGR054W	YGR054W	VII
YGR055W	YGR055W	VII
YGR056W	YGR056W	VII
YGR057C	YGR057C	VII
YGR058W	YGR058W	VII
YGR059W	YGR059W	VII
snR48	snR48	VII
YGR060W	YGR060W	VII
YGR061C	YGR061C	VII
YGR062C	YGR062C	VII
YGR063C	YGR063C	VII
YGR064W	YGR064W	VII
YGR065C	YGR065C	VII
YGR066C	YGR066C	VII
YGR067C	YGR067C	VII
YGR068C	YGR068C	VII
YGR068W.A	YGR068W.A	NA
YGR069W	YGR069W	VII
YGR070W	YGR070W	VII
YGR071C	YGR071C	VII
