hgnc_symbol	ensembl_gene_id	chromosome_name	origsymbol
BCL11B	BCL11B	ENSG00000127152	14	BCL11B
BCL2	BCL2	ENSG00000171791	18	BCL2
BCL2A1	BCL2A1	ENSG00000140379	15	BCL2A1
BCL2L1	BCL2L1	ENSG00000171552	20	BCL2L1
BCL2L10	BCL2L10	ENSG00000137875	15	BCL2L10
BCL2L11	BCL2L11	ENSG00000153094	2	BCL2L11
BCL2L12	BCL2L12	ENSG00000126453	19	BCL2L12
BCL2L13	BCL2L13	ENSG00000099968	22	BCL2L13
BCL2L14	BCL2L14	ENSG00000281449	CHR_HG1362_PATCH	BCL2L14
BCL2L15	BCL2L15	ENSG00000188761	1	BCL2L15
BCL2L2	BCL2L2	ENSG00000129473	14	BCL2L2
BCL2L2-PABPN1	BCL2L2-PABPN1	ENSG00000258643	14	BCL2L2-PABPN1
BCL3	BCL3	ENSG00000069399	19	BCL3
BCL6	BCL6	ENSG00000113916	3	BCL6
BCL6B	BCL6B	ENSG00000161940	17	BCL6B
BCL7A	BCL7A	ENSG00000282873	CHR_HG2247_PATCH	BCL7A
BCL7B	BCL7B	ENSG00000106635	7	BCL7B
BCL7C	BCL7C	ENSG00000099385	16	BCL7C
BCL9	BCL9	ENSG00000116128	1	BCL9
BCL9L	BCL9L	ENSG00000186174	11	BCL9L
BCLAF1	BCLAF1	ENSG00000029363	6	BCLAF1
BCO1	BCO1	ENSG00000135697	16	BCO1
BCO2	BCO2	ENSG00000197580	11	BCO2
BCOR	BCOR	ENSG00000183337	X	BCOR
BCORL1	BCORL1	ENSG00000085185	X	BCORL1
BCORP1	BCORP1	ENSG00000215580	Y	BCORP1
BCR	BCR	ENSG00000186716	22	BCR
BCRP1	BCRP1	ENSG00000225098	22	BCRP1
BCRP3	BCRP3	ENSG00000215481	22	BCRP3
BCRP8	BCRP8	ENSG00000236794	22	BCRP8
BCS1L	BCS1L	ENSG00000074582	2	BCS1L
BCYRN1	BCYRN1	ENSG00000236824	2	BCYRN1
BDH1	BDH1	ENSG00000275544	CHR_HSCHR3_2_CTG3	BDH1
BDH2	BDH2	ENSG00000164039	4	BDH2
BDH2P1	BDH2P1	ENSG00000232699	6	BDH2P1
BDKRB1	BDKRB1	ENSG00000100739	14	BDKRB1
BDKRB2	BDKRB2	ENSG00000168398	14	BDKRB2
BDNF	BDNF	ENSG00000176697	11	BDNF
BDNF-AS	BDNF-AS	ENSG00000245573	11	BDNF-AS
BDP1	BDP1	ENSG00000274803	CHR_HSCHR5_2_CTG1_1	BDP1
BDP1P	BDP1P	ENSG00000264736	18	BDP1P
BEAN1	BEAN1	ENSG00000166546	16	BEAN1
BECN1	BECN1	ENSG00000126581	17	BECN1
BEGAIN	BEGAIN	ENSG00000183092	14	BEGAIN
BEND2	BEND2	ENSG00000177324	X	BEND2
BEND3	BEND3	ENSG00000178409	6	BEND3
BEND4	BEND4	ENSG00000188848	4	BEND4
BEND5	BEND5	ENSG00000162373	1	BEND5
BEND6	BEND6	ENSG00000151917	6	BEND6
BEND7	BEND7	ENSG00000165626	10	BEND7
BEST1	BEST1	ENSG00000167995	11	BEST1
BEST2	BEST2	ENSG00000039987	19	BEST2
BEST3	BEST3	ENSG00000127325	12	BEST3
BEST4	BEST4	ENSG00000142959	1	BEST4
BET1	BET1	ENSG00000105829	7	BET1
BET1L	BET1L	ENSG00000177951	11	BET1L
BEX1	BEX1	ENSG00000133169	X	BEX1
BEX2	BEX2	ENSG00000133134	X	BEX2
BEX4	BEX4	ENSG00000102409	X	BEX4
BEX5	BEX5	ENSG00000184515	X	BEX5
BFAR	BFAR	ENSG00000275618	CHR_HSCHR16_1_CTG1	BFAR
BFSP1	BFSP1	ENSG00000125864	20	BFSP1
BFSP2	BFSP2	ENSG00000170819	3	BFSP2
BFSP2-AS1	BFSP2-AS1	ENSG00000249993	3	BFSP2-AS1
BGLAP	BGLAP	ENSG00000242252	1	BGLAP
BGN	BGN	ENSG00000182492	X	BGN
BHLHB9	BHLHB9	ENSG00000198908	X	BHLHB9
BHLHE23	BHLHE23	ENSG00000125533	20	BHLHE23
BHLHE40	BHLHE40	ENSG00000134107	3	BHLHE40
BHLHE40-AS1	BHLHE40-AS1	ENSG00000235831	3	BHLHE40-AS1
BHLHE41	BHLHE41	ENSG00000123095	12	BHLHE41
BHMT2	BHMT2	ENSG00000132840	5	BHMT2
BICC1	BICC1	ENSG00000122870	10	BICC1
BICD1	BICD1	ENSG00000151746	12	BICD1
BICD2	BICD2	ENSG00000185963	9	BICD2
BID	BID	ENSG00000015475	22	BID
BIK	BIK	ENSG00000100290	22	BIK
BIN1	BIN1	ENSG00000136717	2	BIN1
BIN2	BIN2	ENSG00000110934	12	BIN2
BIN2P1	BIN2P1	ENSG00000234568	4	BIN2P1
BIN2P2	BIN2P2	ENSG00000248684	5	BIN2P2
BIN3	BIN3	ENSG00000147439	8	BIN3
BIRC2	BIRC2	ENSG00000110330	11	BIRC2
BIRC3	BIRC3	ENSG00000023445	11	BIRC3
BIRC5	BIRC5	ENSG00000089685	17	BIRC5
BIRC6	BIRC6	ENSG00000115760	2	BIRC6
BIRC6-AS1	BIRC6-AS1	ENSG00000230046	2	BIRC6-AS1
BIRC6-AS2	BIRC6-AS2	ENSG00000279897	2	BIRC6-AS2
BIRC7	BIRC7	ENSG00000101197	20	BIRC7
BIRC8	BIRC8	ENSG00000163098	19	BIRC8
BIVM	BIVM	ENSG00000134897	13	BIVM
BIVM-ERCC5	BIVM-ERCC5	ENSG00000270181	13	BIVM-ERCC5
BLCAP	BLCAP	ENSG00000166619	20	BLCAP
BLK	BLK	ENSG00000136573	8	BLK
BLM	BLM	ENSG00000197299	15	BLM
BLMH	BLMH	ENSG00000108578	17	BLMH
BLNK	BLNK	ENSG00000095585	10	BLNK
BLOC1S1	BLOC1S1	ENSG00000135441	12	BLOC1S1
BLOC1S2	BLOC1S2	ENSG00000196072	10	BLOC1S2
BLOC1S3	BLOC1S3	ENSG00000189114	19	BLOC1S3
BLOC1S4	BLOC1S4	ENSG00000186222	4	BLOC1S4
BLOC1S5	BLOC1S5	ENSG00000188428	6	BLOC1S5
BLOC1S6	BLOC1S6	ENSG00000104164	15	BLOC1S6
BLVRA	BLVRA	ENSG00000106605	7	BLVRA
BLVRB	BLVRB	ENSG00000090013	19	BLVRB
BLZF1	BLZF1	ENSG00000117475	1	BLZF1
BLZF2P	BLZF2P	ENSG00000258565	14	BLZF2P
BMF	BMF	ENSG00000104081	15	BMF
BMI1	BMI1	ENSG00000168283	10	BMI1
BMP1	BMP1	ENSG00000168487	8	BMP1
BMP10	BMP10	ENSG00000163217	2	BMP10
BMP2	BMP2	ENSG00000125845	20	BMP2
BMP2K	BMP2K	ENSG00000138756	4	BMP2K
BMP2KL	BMP2KL	ENSG00000204113	X	BMP2KL
BMP4	BMP4	ENSG00000125378	14	BMP4
BMP7	BMP7	ENSG00000101144	20	BMP7
BMP8A	BMP8A	ENSG00000183682	1	BMP8A
BMP8B	BMP8B	ENSG00000116985	1	BMP8B
BMPER	BMPER	ENSG00000164619	7	BMPER
BMPR1A	BMPR1A	ENSG00000107779	10	BMPR1A
BMPR1APS1	NA	NA	NA	BMPR1APS1
BMPR1B	BMPR1B	ENSG00000138696	4	BMPR1B
BMPR2	BMPR2	ENSG00000204217	2	BMPR2
BMS1	BMS1	ENSG00000165733	10	BMS1
BMS1P1	BMS1P1	ENSG00000204177	10	BMS1P1
BMS1P10	BMS1P10	ENSG00000237238	9	BMS1P10
BMS1P11	BMS1P11	ENSG00000225883	9	BMS1P11
BMS1P12	BMS1P12	ENSG00000224599	9	BMS1P12
BMS1P13	BMS1P13	ENSG00000231701	9	BMS1P13
BMS1P15	BMS1P15	ENSG00000258780	15	BMS1P15
BMS1P16	BMS1P16	ENSG00000258684	15	BMS1P16
BMS1P17	BMS1P17	ENSG00000228294	14	BMS1P17
BMS1P19	BMS1P19	ENSG00000231099	2	BMS1P19
BMS1P2	BMS1P2	ENSG00000251079	10	BMS1P2
BMS1P20	NA	NA	NA	BMS1P20
BMS1P3	BMS1P3	ENSG00000240089	10	BMS1P3
BMS1P4	BMS1P4	ENSG00000242338	10	BMS1P4
BMS1P7	BMS1P7	ENSG00000270025	10	BMS1P7
BMS1P8	BMS1P8	ENSG00000260518	16	BMS1P8
BMX	BMX	ENSG00000102010	X	BMX
BNC2	BNC2	ENSG00000173068	9	BNC2
BNIP1	BNIP1	ENSG00000113734	5	BNIP1
BNIP2	BNIP2	ENSG00000140299	15	BNIP2
BNIP3	BNIP3	ENSG00000176171	10	BNIP3
BNIP3L	BNIP3L	ENSG00000104765	8	BNIP3L
BNIP3P1	BNIP3P1	ENSG00000197358	14	BNIP3P1
BNIP3P11	BNIP3P11	ENSG00000271550	7	BNIP3P11
BNIP3P15	BNIP3P15	ENSG00000270716	19	BNIP3P15
BNIP3P20	BNIP3P20	ENSG00000271704	19	BNIP3P20
BNIP3P25	BNIP3P25	ENSG00000268322	19	BNIP3P25
BNIP3P26	BNIP3P26	ENSG00000268705	19	BNIP3P26
BNIP3P27	BNIP3P27	ENSG00000268438	19	BNIP3P27
BNIP3P28	BNIP3P28	ENSG00000271095	19	BNIP3P28
BNIP3P37	BNIP3P37	ENSG00000270479	19	BNIP3P37
BNIP3P41	BNIP3P41	ENSG00000248302	4	BNIP3P41
BNIP3P5	BNIP3P5	ENSG00000260571	15	BNIP3P5
BNIP3P6	BNIP3P6	ENSG00000257356	14	BNIP3P6
BNIP3P8	BNIP3P8	ENSG00000269431	19	BNIP3P8
BNIPL	BNIPL	ENSG00000163141	1	BNIPL
BOC	BOC	ENSG00000144857	3	BOC
BOD1	BOD1	ENSG00000145919	5	BOD1
BOD1L1	BOD1L1	ENSG00000038219	4	BOD1L1
BOK	BOK	ENSG00000176720	2	BOK
BOK-AS1	BOK-AS1	ENSG00000234235	2	BOK-AS1
BOLA1	BOLA1	ENSG00000178096	1	BOLA1
BOLA2B	BOLA2B	ENSG00000169627	16	BOLA2B
BOLA3	BOLA3	ENSG00000163170	2	BOLA3
BOLA3-AS1	BOLA3-AS1	ENSG00000225439	2	BOLA3-AS1
BOLL	BOLL	ENSG00000152430	2	BOLL
BOP1	BOP1	ENSG00000285301	CHR_HG2419_PATCH	BOP1
BORA	BORA	ENSG00000136122	13	BORA
BPESC1	BPESC1	ENSG00000232416	3	BPESC1
BPGM	BPGM	ENSG00000172331	7	BPGM
BPHL	BPHL	ENSG00000137274	6	BPHL
BPI	BPI	ENSG00000101425	20	BPI
BPIFA3	BPIFA3	ENSG00000131059	20	BPIFA3
BPIFB1	BPIFB1	ENSG00000125999	20	BPIFB1
BPIFB9P	BPIFB9P	ENSG00000125997	20	BPIFB9P
BPIFC	BPIFC	ENSG00000184459	22	BPIFC
BPNT1	BPNT1	ENSG00000162813	1	BPNT1
BPTF	BPTF	ENSG00000171634	17	BPTF
BRAF	BRAF	ENSG00000157764	7	BRAF
BRAFP1	BRAFP1	ENSG00000224775	X	BRAFP1
BRAP	BRAP	ENSG00000089234	12	BRAP
BRAT1	BRAT1	ENSG00000106009	7	BRAT1
BRCA1	BRCA1	ENSG00000012048	17	BRCA1
BRCA2	BRCA2	ENSG00000139618	13	BRCA2
BRCC3	BRCC3	ENSG00000185515	X	BRCC3
BRD1	BRD1	ENSG00000100425	22	BRD1
BRD2	BRD2	ENSG00000236227	CHR_HSCHR6_MHC_SSTO_CTG1	BRD2
BRD2-IT1	NA	NA	NA	BRD2-IT1
BRD3	BRD3	ENSG00000169925	9	BRD3
BRD4	BRD4	ENSG00000141867	19	BRD4
BRD7	BRD7	ENSG00000166164	16	BRD7
BRD7P1	BRD7P1	ENSG00000284831	CHR_HG1_PATCH	BRD7P1
BRD7P2	BRD7P2	ENSG00000184100	3	BRD7P2
BRD7P3	NA	NA	NA	BRD7P3
BRD7P4	BRD7P4	ENSG00000218676	6	BRD7P4
BRD7P5	BRD7P5	ENSG00000235768	13	BRD7P5
BRD7P6	BRD7P6	ENSG00000235289	2	BRD7P6
BRD8	BRD8	ENSG00000112983	5	BRD8
BRD9	BRD9	ENSG00000028310	5	BRD9
BRDT	BRDT	ENSG00000137948	1	BRDT
BRE	NA	NA	NA	BRE
BREA2	NA	NA	NA	BREA2
BRF1	BRF1	ENSG00000185024	14	BRF1
BRF2	BRF2	ENSG00000104221	8	BRF2
BRI3	BRI3	ENSG00000164713	7	BRI3
BRI3BP	BRI3BP	ENSG00000184992	12	BRI3BP
BRI3P1	BRI3P1	ENSG00000225169	1	BRI3P1
BRICD5	BRICD5	ENSG00000182685	16	BRICD5
BRINP1	BRINP1	ENSG00000078725	9	BRINP1
BRINP2	BRINP2	ENSG00000198797	1	BRINP2
BRIP1	BRIP1	ENSG00000136492	17	BRIP1
BRIX1	BRIX1	ENSG00000113460	5	BRIX1
BRK1	BRK1	ENSG00000254999	3	BRK1
BRMS1	BRMS1	ENSG00000174744	11	BRMS1
BRMS1L	BRMS1L	ENSG00000100916	14	BRMS1L
BROX	BROX	ENSG00000162819	1	BROX
BRPF1	BRPF1	ENSG00000156983	3	BRPF1
BRPF3	BRPF3	ENSG00000096070	6	BRPF3
BRSK1	BRSK1	ENSG00000160469	19	BRSK1
BRSK2	BRSK2	ENSG00000174672	11	BRSK2
BRWD1	BRWD1	ENSG00000185658	21	BRWD1
BRWD1-AS1	BRWD1-AS1	ENSG00000238141	21	BRWD1-AS1
BRWD1-AS2	BRWD1-AS2	ENSG00000255568	21	BRWD1-AS2
BRWD1-IT1	BRWD1-IT1	ENSG00000237373	21	BRWD1-IT1
BRWD3	BRWD3	ENSG00000165288	X	BRWD3
BSCL2	BSCL2	ENSG00000168000	11	BSCL2
BSDC1	BSDC1	ENSG00000160058	1	BSDC1
BSG	BSG	ENSG00000172270	19	BSG
BSN	BSN	ENSG00000164061	3	BSN
BSN-AS1	BSN-AS1	ENSG00000235120	3	BSN-AS1
BSN-AS2	NA	NA	NA	BSN-AS2
BSND	BSND	ENSG00000162399	1	BSND
BSPRY	BSPRY	ENSG00000119411	9	BSPRY
BST1	BST1	ENSG00000109743	4	BST1
BST2	BST2	ENSG00000130303	19	BST2
BTAF1	BTAF1	ENSG00000095564	10	BTAF1
BTBD1	BTBD1	ENSG00000064726	15	BTBD1
BTBD10	BTBD10	ENSG00000148925	11	BTBD10
BTBD11	BTBD11	ENSG00000151136	12	BTBD11
BTBD16	BTBD16	ENSG00000138152	10	BTBD16
BTBD18	BTBD18	ENSG00000233436	11	BTBD18
BTBD19	BTBD19	ENSG00000222009	1	BTBD19
BTBD2	BTBD2	ENSG00000133243	19	BTBD2
BTBD3	BTBD3	ENSG00000132640	20	BTBD3
BTBD6	BTBD6	ENSG00000184887	14	BTBD6
BTBD7	BTBD7	ENSG00000277222	CHR_HSCHR14_7_CTG1	BTBD7
BTBD7P1	BTBD7P1	ENSG00000203414	10	BTBD7P1
BTBD8	BTBD8	ENSG00000189195	1	BTBD8
BTBD9	BTBD9	ENSG00000183826	6	BTBD9
BTBD9-AS1	BTBD9-AS1	ENSG00000226533	6	BTBD9-AS1
BTD	BTD	ENSG00000169814	3	BTD
BTF3	BTF3	ENSG00000145741	5	BTF3
BTF3L4	BTF3L4	ENSG00000134717	1	BTF3L4
BTF3L4P1	BTF3L4P1	ENSG00000232260	21	BTF3L4P1
BTF3L4P2	BTF3L4P2	ENSG00000213189	2	BTF3L4P2
BTF3L4P3	BTF3L4P3	ENSG00000213108	6	BTF3L4P3
BTF3L4P4	BTF3L4P4	ENSG00000229226	4	BTF3L4P4
BTF3P10	BTF3P10	ENSG00000231120	6	BTF3P10
BTF3P11	BTF3P11	ENSG00000118903	13	BTF3P11
BTF3P12	BTF3P12	ENSG00000213003	8	BTF3P12
BTF3P13	BTF3P13	ENSG00000227118	4	BTF3P13
BTF3P14	BTF3P14	ENSG00000262609	17	BTF3P14
BTF3P15	BTF3P15	ENSG00000237242	10	BTF3P15
BTF3P2	BTF3P2	ENSG00000258282	14	BTF3P2
BTF3P4	BTF3P4	ENSG00000224820	9	BTF3P4
BTF3P5	BTF3P5	ENSG00000233594	2	BTF3P5
BTF3P6	BTF3P6	ENSG00000233956	21	BTF3P6
BTF3P7	BTF3P7	ENSG00000219986	6	BTF3P7
BTF3P8	BTF3P8	ENSG00000236813	X	BTF3P8
BTF3P9	BTF3P9	ENSG00000224834	1	BTF3P9
BTG1	BTG1	ENSG00000133639	12	BTG1
BTG2	BTG2	ENSG00000159388	1	BTG2
BTG3	BTG3	ENSG00000281484	CHR_HSCHR21_6_CTG1_1	BTG3
BTG4	BTG4	ENSG00000137707	11	BTG4
BTK	BTK	ENSG00000010671	X	BTK
BTLA	BTLA	ENSG00000186265	3	BTLA
BTN1A1	BTN1A1	ENSG00000124557	6	BTN1A1
BTN2A1	BTN2A1	ENSG00000112763	6	BTN2A1
BTN2A2	BTN2A2	ENSG00000124508	6	BTN2A2
BTN2A3P	BTN2A3P	ENSG00000124549	6	BTN2A3P
BTN3A1	BTN3A1	ENSG00000026950	6	BTN3A1
BTN3A2	BTN3A2	ENSG00000186470	6	BTN3A2
BTN3A3	BTN3A3	ENSG00000111801	6	BTN3A3
BTNL10	BTNL10	ENSG00000285153	CHR_HG2002_PATCH	BTNL10
BTNL8	BTNL8	ENSG00000113303	5	BTNL8
BTNL9	BTNL9	ENSG00000165810	5	BTNL9
BTRC	BTRC	ENSG00000166167	10	BTRC
BUB1	BUB1	ENSG00000169679	2	BUB1
BUB1B	BUB1B	ENSG00000156970	15	BUB1B
BUB3	BUB3	ENSG00000154473	10	BUB3
BUD13	BUD13	ENSG00000137656	11	BUD13
BUD31	BUD31	ENSG00000106245	7	BUD31
BVES	BVES	ENSG00000112276	6	BVES
BX004987.4	NA	NA	NA	BX004987.4
BX255923.3	NA	NA	NA	BX255923.3
BX322557.10	NA	NA	NA	BX322557.10
BX649567.1	NA	NA	NA	BX649567.1
BX842568.2	NA	NA	NA	BX842568.2
BYSL	BYSL	ENSG00000112578	6	BYSL
BZRAP1	NA	NA	NA	BZRAP1
BZRAP1-AS1	NA	NA	NA	BZRAP1-AS1
BZW1	BZW1	ENSG00000082153	2	BZW1
BZW1P1	BZW1P1	ENSG00000236686	3	BZW1P1
BZW1P2	BZW1P2	ENSG00000198406	3	BZW1P2
BZW2	BZW2	ENSG00000136261	7	BZW2
C10orf10	NA	NA	NA	C10orf10
C10orf107	NA	NA	NA	C10orf107
C10orf11	C10orf111	ENSG00000176236	10	C10orf11
C10orf111	C10orf111	ENSG00000176236	10	C10orf111
C10orf12	NA	NA	NA	C10orf12
C10orf128	NA	NA	NA	C10orf128
C10orf131	NA	NA	NA	C10orf131
C10orf2	C10orf25	ENSG00000165511	10	C10orf2
C10orf25	C10orf25	ENSG00000165511	10	C10orf25
C10orf32	NA	NA	NA	C10orf32
C10orf35	NA	NA	NA	C10orf35
C10orf40	NA	NA	NA	C10orf40
C10orf54	NA	NA	NA	C10orf54
C10orf55	C10orf55	ENSG00000222047	10	C10orf55
C10orf67	C10orf67	ENSG00000179133	10	C10orf67
C10orf71	C10orf71	ENSG00000177354	10	C10orf71
C10orf76	NA	NA	NA	C10orf76
C10orf88	C10orf88	ENSG00000119965	10	C10orf88
C10orf90	C10orf90	ENSG00000154493	10	C10orf90
C10orf91	C10orf91	ENSG00000180066	10	C10orf91
C10orf95	C10orf95	ENSG00000120055	10	C10orf95
C11orf1	C11orf1	ENSG00000137720	11	C11orf1
C11orf16	C11orf16	ENSG00000176029	11	C11orf16
C11orf24	C11orf24	ENSG00000171067	11	C11orf24
C11orf30	NA	NA	NA	C11orf30
C11orf31	NA	NA	NA	C11orf31
C11orf40	C11orf40	ENSG00000171987	11	C11orf40
C11orf42	C11orf42	ENSG00000180878	11	C11orf42
C11orf44	C11orf44	ENSG00000175728	11	C11orf44
C11orf45	C11orf45	ENSG00000174370	11	C11orf45
C11orf48	NA	NA	NA	C11orf48
C11orf49	C11orf49	ENSG00000149179	11	C11orf49
C11orf52	C11orf52	ENSG00000149300	11	C11orf52
C11orf54	C11orf54	ENSG00000182919	11	C11orf54
C11orf57	NA	NA	NA	C11orf57
C11orf58	C11orf58	ENSG00000110696	11	C11orf58
C11orf63	NA	NA	NA	C11orf63
C11orf65	C11orf65	ENSG00000166323	11	C11orf65
C11orf68	C11orf68	ENSG00000175573	11	C11orf68
C11orf70	NA	NA	NA	C11orf70
C11orf71	C11orf71	ENSG00000180425	11	C11orf71
C11orf72	C11orf72	ENSG00000184224	11	C11orf72
C11orf73	NA	NA	NA	C11orf73
C11orf74	C11orf74	ENSG00000166352	11	C11orf74
C11orf80	C11orf80	ENSG00000173715	11	C11orf80
C11orf84	NA	NA	NA	C11orf84
C11orf87	C11orf87	ENSG00000185742	11	C11orf87
C11orf88	C11orf88	ENSG00000183644	11	C11orf88
C11orf91	C11orf91	ENSG00000205177	11	C11orf91
C11orf94	C11orf94	ENSG00000234776	11	C11orf94
C11orf95	C11orf95	ENSG00000188070	11	C11orf95
C11orf96	C11orf96	ENSG00000187479	11	C11orf96
C11orf97	C11orf97	ENSG00000257057	11	C11orf97
C12orf10	C12orf10	ENSG00000139637	12	C12orf10
C12orf29	C12orf29	ENSG00000133641	12	C12orf29
C12orf36	NA	NA	NA	C12orf36
C12orf4	C12orf4	ENSG00000047621	12	C12orf4
C12orf40	C12orf40	ENSG00000180116	12	C12orf40
C12orf42	C12orf42	ENSG00000179088	12	C12orf42
C12orf43	C12orf43	ENSG00000157895	12	C12orf43
C12orf45	C12orf45	ENSG00000151131	12	C12orf45
C12orf49	C12orf49	ENSG00000111412	12	C12orf49
C12orf5	NA	NA	NA	C12orf5
C12orf50	C12orf50	ENSG00000165805	12	C12orf50
C12orf54	C12orf54	ENSG00000177627	12	C12orf54
C12orf55	NA	NA	NA	C12orf55
C12orf56	C12orf56	ENSG00000185306	12	C12orf56
C12orf57	C12orf57	ENSG00000111678	12	C12orf57
C12orf60	C12orf60	ENSG00000182993	12	C12orf60
C12orf65	C12orf65	ENSG00000130921	12	C12orf65
C12orf66	C12orf66	ENSG00000174206	12	C12orf66
C12orf73	C12orf73	ENSG00000204954	12	C12orf73
C12orf74	C12orf74	ENSG00000187510	12	C12orf74
C12orf75	C12orf75	ENSG00000235162	12	C12orf75
C12orf76	C12orf76	ENSG00000174456	12	C12orf76
C12orf77	C12orf77	ENSG00000226397	12	C12orf77
C12orf79	NA	NA	NA	C12orf79
C14orf1	NA	NA	NA	C14orf1
C14orf105	NA	NA	NA	C14orf105
C14orf119	C14orf119	ENSG00000179933	14	C14orf119
C14orf132	C14orf132	ENSG00000227051	14	C14orf132
C14orf142	NA	NA	NA	C14orf142
C14orf159	NA	NA	NA	C14orf159
C14orf166	NA	NA	NA	C14orf166
C14orf169	NA	NA	NA	C14orf169
C14orf178	C14orf178	ENSG00000197734	14	C14orf178
C14orf180	C14orf180	ENSG00000274126	CHR_HSCHR14_2_CTG1	C14orf180
C14orf182	NA	NA	NA	C14orf182
C14orf183	NA	NA	NA	C14orf183
C14orf2	C14orf28	ENSG00000179476	14	C14orf2
C14orf23	NA	NA	NA	C14orf23
C14orf28	C14orf28	ENSG00000179476	14	C14orf28
C14orf37	NA	NA	NA	C14orf37
C14orf39	C14orf39	ENSG00000179008	14	C14orf39
C14orf64	NA	NA	NA	C14orf64
C14orf79	NA	NA	NA	C14orf79
C14orf80	NA	NA	NA	C14orf80
C14orf93	C14orf93	ENSG00000100802	14	C14orf93
C15orf26	NA	NA	NA	C15orf26
C15orf27	NA	NA	NA	C15orf27
C15orf37	NA	NA	NA	C15orf37
C15orf39	C15orf39	ENSG00000167173	15	C15orf39
C15orf40	C15orf40	ENSG00000169609	15	C15orf40
C15orf41	C15orf41	ENSG00000186073	15	C15orf41
C15orf48	C15orf48	ENSG00000166920	15	C15orf48
C15orf52	NA	NA	NA	C15orf52
C15orf53	C15orf53	ENSG00000175779	15	C15orf53
C15orf54	C15orf54	ENSG00000175746	15	C15orf54
C15orf56	C15orf56	ENSG00000176753	15	C15orf56
C15orf57	NA	NA	NA	C15orf57
C15orf61	C15orf61	ENSG00000189227	15	C15orf61
C15orf62	C15orf62	ENSG00000188277	15	C15orf62
C15orf65	C15orf65	ENSG00000261652	15	C15orf65
C16orf13	NA	NA	NA	C16orf13
C16orf45	C16orf45	ENSG00000278823	CHR_HSCHR16_1_CTG1	C16orf45
C16orf46	C16orf46	ENSG00000166455	16	C16orf46
C16orf52	NA	NA	NA	C16orf52
C16orf54	C16orf54	ENSG00000185905	16	C16orf54
C16orf58	C16orf58	ENSG00000140688	16	C16orf58
C16orf59	NA	NA	NA	C16orf59
C16orf62	NA	NA	NA	C16orf62
C16orf70	C16orf70	ENSG00000125149	16	C16orf70
C16orf71	C16orf71	ENSG00000166246	16	C16orf71
C16orf72	C16orf72	ENSG00000182831	16	C16orf72
C16orf74	C16orf74	ENSG00000154102	16	C16orf74
C16orf86	C16orf86	ENSG00000159761	16	C16orf86
C16orf87	C16orf87	ENSG00000155330	16	C16orf87
C16orf89	C16orf89	ENSG00000153446	16	C16orf89
C16orf91	C16orf91	ENSG00000174109	16	C16orf91
C16orf92	C16orf92	ENSG00000167194	16	C16orf92
C16orf93	NA	NA	NA	C16orf93
C16orf95	C16orf95	ENSG00000260456	16	C16orf95
C16orf96	C16orf96	ENSG00000205832	16	C16orf96
C17orf100	C17orf100	ENSG00000256806	17	C17orf100
C17orf104	NA	NA	NA	C17orf104
C17orf105	NA	NA	NA	C17orf105
C17orf107	C17orf107	ENSG00000205710	17	C17orf107
C17orf47	C17orf47	ENSG00000181013	17	C17orf47
C17orf49	C17orf49	ENSG00000258315	17	C17orf49
C17orf50	C17orf50	ENSG00000270806	17	C17orf50
C17orf51	C17orf51	ENSG00000212719	17	C17orf51
C17orf53	C17orf53	ENSG00000125319	17	C17orf53
C17orf58	C17orf58	ENSG00000186665	17	C17orf58
C17orf59	NA	NA	NA	C17orf59
C17orf61-PLSCR3	NA	NA	NA	C17orf61-PLSCR3
C17orf62	NA	NA	NA	C17orf62
C17orf64	C17orf64	ENSG00000141371	17	C17orf64
C17orf67	C17orf67	ENSG00000214226	17	C17orf67
C17orf70	NA	NA	NA	C17orf70
C17orf74	NA	NA	NA	C17orf74
C17orf75	C17orf75	ENSG00000108666	17	C17orf75
C17orf77	C17orf77	ENSG00000182352	17	C17orf77
C17orf78	C17orf78	ENSG00000278505	CHR_HSCHR17_7_CTG4	C17orf78
C17orf80	C17orf80	ENSG00000141219	17	C17orf80
C17orf82	C17orf82	ENSG00000187013	17	C17orf82
C17orf85	NA	NA	NA	C17orf85
C17orf89	NA	NA	NA	C17orf89
C17orf96	NA	NA	NA	C17orf96
C17orf97	C17orf97	ENSG00000283985	CHR_HG2285_HG106_HG2252_PATCH	C17orf97
C17orf98	C17orf98	ENSG00000276913	CHR_HSCHR17_7_CTG4	C17orf98
C17orf99	C17orf99	ENSG00000187997	17	C17orf99
C18orf12	C18orf12	ENSG00000280197	18	C18orf12
C18orf15	C18orf15	ENSG00000279020	18	C18orf15
C18orf21	C18orf21	ENSG00000141428	18	C18orf21
C18orf25	C18orf25	ENSG00000152242	18	C18orf25
C18orf32	C18orf32	ENSG00000177576	18	C18orf32
C18orf54	C18orf54	ENSG00000166845	18	C18orf54
C18orf61	NA	NA	NA	C18orf61
C18orf63	C18orf63	ENSG00000206043	18	C18orf63
C18orf8	NA	NA	NA	C18orf8
C19orf10	NA	NA	NA	C19orf10
C19orf12	C19orf12	ENSG00000131943	19	C19orf12
C19orf24	C19orf24	ENSG00000228300	19	C19orf24
C19orf25	C19orf25	ENSG00000119559	19	C19orf25
C19orf26	NA	NA	NA	C19orf26
C19orf33	C19orf33	ENSG00000167644	19	C19orf33
C19orf35	NA	NA	NA	C19orf35
